segment,value,n,on_time_rate,continued_any_rate,same_matrix_retention_rate,narrative_only_rate,stopped_rate,mean_underrepresented_share
female_share_bucket,0% female,34,0.6470588235294118,0.6764705882352942,0.2647058823529412,0.4117647058823529,0.3235294117647059,0.21714285714285717
female_share_bucket,0-25% female,61,0.819672131147541,0.6721311475409836,0.2459016393442623,0.4262295081967213,0.32786885245901637,0.2879479316979317
female_share_bucket,25-40% female,44,0.7272727272727273,0.6590909090909091,0.13636363636363635,0.5227272727272727,0.3409090909090909,0.3093348450491308
female_share_bucket,40%+ female,40,0.675,0.625,0.2,0.425,0.375,0.2819624819624819
has_underrepresented_race_ethnicity,0,124,0.6612903225806451,0.6451612903225806,0.25,0.3951612903225806,0.3548387096774194,0.0
has_underrepresented_race_ethnicity,1,55,0.8909090909090909,0.6909090909090909,0.12727272727272726,0.5636363636363636,0.3090909090909091,0.34039879312606586
has_lgbtq_director,0,157,0.7070063694267515,0.6560509554140127,0.21656050955414013,0.4394904458598726,0.34394904458598724,0.3026107637218748
has_lgbtq_director,1,22,0.9090909090909091,0.6818181818181818,0.18181818181818182,0.5,0.3181818181818182,0.21645021645021645
has_any_undisclosed_signal,0,133,0.6541353383458647,0.6691729323308271,0.20300751879699247,0.46616541353383456,0.3308270676691729,0.3080021645021645
has_any_undisclosed_signal,1,46,0.9565217391304348,0.6304347826086957,0.2391304347826087,0.391304347826087,0.3695652173913043,0.22145502645502643
