field,value,n,continued,not_continued,continued_share,continued_share_ci_low,continued_share_ci_high,ci_width,signal_confidence,diff_vs_overall_pp,smoothed_odds_ratio_vs_rest
company_sector,Energy / industrials,13,12,1,0.9230769230769231,0.6668546607175265,0.9862899336203037,0.3194352729027772,directional,24.51108213820079,4.339477726574501
filer_category_simplified,"accelerated, smaller reporting",15,13,2,0.8666666666666667,0.6211750079348376,0.9626395301086407,0.3414645221738031,directional,18.87005649717515,2.7879069767441864
filer_category_simplified,accelerated,6,5,1,0.8333333333333334,0.43649056343635395,0.9699474141282697,0.5334568506919157,early signal,15.536723163841815,1.7936507936507937
market_tier_clean,Global Select,34,28,6,0.8235294117647058,0.6648593225994784,0.9165114439643031,0.2516521213648246,stronger descriptive signal,14.556331006979061,2.441164241164241
company_size_bucket,mid-size (250-999 employees),19,15,4,0.7894736842105263,0.5666528575973392,0.9149246150840843,0.3482717574867451,directional,11.150758251561111,1.746708794102159
company_size_bucket,small (50-249 employees),33,26,7,0.7878787878787878,0.6224802241287064,0.8932411343356381,0.2707609102069317,stronger descriptive signal,10.991268618387263,1.8881834215167548
initial_form_type,DEF 14A,114,84,30,0.7368421052631579,0.6492406917150557,0.8090015588993282,0.15976086718427251,stronger descriptive signal,5.887600356824263,2.087356838086683
hq_group,US,126,92,34,0.7301587301587301,0.646695476810197,0.8000026538351431,0.15330717702494612,stronger descriptive signal,5.21926284638149,2.210780574624968
market_tier_clean,Capital Market,88,64,24,0.7272727272727273,0.6261859859635164,0.8093464960489922,0.18316051008547585,stronger descriptive signal,4.930662557781207,1.5609535849738125
issuer_type,domestic,124,90,34,0.7258064516129032,0.6413919627801241,0.7966501142902505,0.15525815151012634,stronger descriptive signal,4.784034991798802,2.021145165122357
geo_scope,Actual US state HQ,119,85,34,0.7142857142857143,0.627415140642771,0.7877536621080887,0.16033852146531768,stronger descriptive signal,3.6319612590799077,1.640538885486834
filer_category_simplified,large accelerated,28,20,8,0.7142857142857143,0.529403642629825,0.8474618415167003,0.31805819888687537,directional,3.6319612590799077,1.1878841088674275
company_sector,Consumer / retail,21,15,6,0.7142857142857143,0.500432261771624,0.8618632425437179,0.3614309807720939,directional,3.6319612590799077,1.16405395552315
company_size_bucket,"large (1,000-9,999 employees)",7,5,2,0.7142857142857143,0.35892909014821267,0.9177828342909844,0.5588537441427717,early signal,3.6319612590799077,1.0571428571428572
company_sector,Technology,31,22,9,0.7096774193548387,0.5340734004245933,0.8390437928156713,0.30497039239107804,directional,3.171131765992352,1.1661768634784933
industry_theme,Technology,31,22,9,0.7096774193548387,0.5340734004245933,0.8390437928156713,0.30497039239107804,directional,3.171131765992352,1.1661768634784933
filer_category_simplified,"not stated, egc",55,39,16,0.7090909090909091,0.5785902917965606,0.8122896298914968,0.23369933809493615,stronger descriptive signal,3.112480739599388,1.2189998140918388
company_size_bucket,micro (<50 employees),17,12,5,0.7058823529411765,0.468664666737861,0.8672020613444361,0.3985373946065751,directional,2.791625124626129,1.099706744868035
sic_division,Manufacturing,86,60,26,0.6976744186046512,0.5938776628562396,0.7845661760780623,0.1906885132218228,stronger descriptive signal,1.9708316909735957,1.1886792452830188
