cik,ticker,legal_name,continuation_group,continuation_status,continuation_date,continuation_source,issuer_type,sec_entity_type,sec_filer_category,company_type,sic,sic_description,market_tier,exchange,current_tickers,current_exchanges,state_of_incorporation,fiscal_year_end,phone,business_address,headquarters_city,headquarters_state_or_country,headquarters_country,employee_count,employee_count_as_of,company_size_bucket,size_basis,business_summary_excerpt,business_summary_matched_heading,employee_count_excerpt,profile_source_form,profile_source_filing_date,profile_source_accession,profile_source_url,profile_metadata_source,initial_matrix_due_date,initial_matrix_publication_date,initial_matrix_source,profile_completeness_flags,nasdaq_listing_date,initial_form_type,initial_source_type,post_vacatur_candidate_filings,reviewed_post_vacatur_filings,fetch_failed_filings,continued,initial_publication_lag_days,days_before_due,listing_year,due_year,filer_category_simplified,is_egc,is_smaller_reporting,is_large_accelerated,is_accelerated_any,sic_division,industry_theme,hq_group,is_actual_us_state_hq,geo_scope,hq_state_for_analysis,hq_city_state_for_analysis,market_tier_clean,employee_missing,employee_count_filled,log_employee_count,current_ticker_available,model_feature_count
1868941,FLNC,"Fluence Energy, Inc.",continued,continued_same_matrix,2025-01-24,0001868941-25-000007,domestic,operating,Accelerated filer,domestic; operating; common stock,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies",Global Select,Nasdaq,FLNC,Nasdaq,,930.0,(833) 358-3623,"4601 FAIRFAX DRIVE, SUITE 600, ARLINGTON, VA, 22203",ARLINGTON,VA,,1670.0,"September 30, 2025","large (1,000-9,999 employees)",employee_count_from_sec_filing,"Inception and Organization Fluence Energy, Inc., a Delaware corporation (the “Company”), was initially formed on June 21, 2021 and completed its initial public offering (the “IPO”) on November 1, 2021. We conduct our business operations through Fluence Energy, LLC and its direct and indirect subsidiaries. Fluence Energy, LLC was formed on June 30, 2017 as a joint venture between Siemens Industry, Inc. (“Siemens Industry”), an indirect subsidiary of Siemens AG (“Siemens”), and AES Grid Stability, LLC (“AES Grid Stability”), an indirect subsidiary of The AES Corporation (“AES”), and commenced operations on January 1, 2018.",\bItem\s+1\.\s+Business\b,"As of September 30, 2025, we had approximately 1670 full-time employees across 15 different countries.",10-K,2025-11-25,0001868941-25-000081,https://www.sec.gov/Archives/edgar/data/1868941/000186894125000081/flnc-20250930.htm,SEC submissions API cache,2022-10-28,2022-01-28,0001140361-22-003004,,2021-10-28,DEF 14A,edgar_filing,6,1,0,1,92,273,2021,2022,accelerated,0,0,0,1,Manufacturing,Other industries,US,1,Actual US state HQ,VA,"Arlington, VA",Global Select,0,1670.0,7.421177528595393,1,50
1865408,,Exscientia plc,not_continued,no_post_vacatur_relevant_filing,,,foreign_private_issuer,other,Non-accelerated filer<br>Emerging growth company,foreign_private_issuer; other; ADS,2836,"Biological Products, (No Diagnostic Substances)",Global Select,Nasdaq,,,United Kingdom,1231.0,44 0 1865 818941,"THE SCHRODINGER BUILDING, OXFORD SCIENCE PARK, OXFORD, United Kingdom, OX4 4GE",OXFORD,United Kingdom,,285.0,"December 31, 2021",mid-size (250-999 employees),employee_count_from_sec_filing,"A. History and Development of the Company Exscientia was founded in 2012 as Exscientia Limited, a private company incorporated under the rules of Scotland. On June 29, 2021, Exscientia plc was incorporated under the laws of England and Wales as Exscientia Holdings Limited, with nominal assets and liabilities for the purpose of becoming the ultimate holding company for Exscientia AI Limited (formerly Exscientia Limited) and consummating the corporate reorganisation described in Item 10.B of this annual report. Exscientia Inc., a Delaware corporation, is our wholly owned subsidiary. In August 2021, we acquired 100% of the outstanding share capital of Allcyte, a precision medicine biotechnology company. In October 2021, we completed the initial public offering of our ADSs on the Nasdaq Global Select Market. Our ADSs are traded under the symbol EXAI. Our ordinary shares are not listed.",\bItem\s+4\.\s+Information\s+on\s+the\s+Company\b,"Employees As of December 31, 2021, we had 285 employees and we continue to scale rapidly across all of our teams.",20-F,2022-03-23,0001865408-22-000005,https://www.sec.gov/Archives/edgar/data/1865408/000186540822000005/exai-20211231.htm,SEC submissions API cache,2022-10-01,2022-03-23,0001865408-22-000005,,2021-10-01,20-F,edgar_filing,0,0,0,0,173,192,2021,2022,"accelerated, egc",1,0,0,1,Manufacturing,Life sciences / medical,Europe,0,Non-US / non-state HQ,Not actual US state HQ,Not actual US state HQ,Global Select,0,285.0,5.655991810819852,0,50
1689731,,"Southern States Bancshares, Inc.",continued,continued_other_narrative,2025-04-18,0001628280-25-018318,domestic,operating,<br>Emerging growth company,domestic; operating; common stock,6022,State Commercial Banks,,Nasdaq,,,AL,1231.0,205-820-8065,"615 QUINTARD AVENUE, ANNISTON, AL, 36201",ANNISTON,AL,,,,,sec_filer_category_only,"and monitors the performance of management. The following table sets forth certain information about our directors, including their names, ages and year in which they began serving as a director of the Company. Directors Age Director Since Lewis C. Beavers 74 2019 Daniel A. Cummings 55 2023 Richard E. Drews, Jr. 67 July 2024 Alfred J. Hayes, Jr. 80 2015 Jonathan W. Hinton 42 2023 Brent D. Hitson 58 2007 Brian S. Holmes 61 2007 Christine Hunsaker 58 2023 Cynthia S. McCarty 64 2020 Jay F. Pumroy 68 2007 J. Henry Smith, IV 55 2009 Mark A. Chambers 61 2022 In accordance with our bylaws, the total number of directors constituting the entire board may not be less than five nor more than fifteen. Our board is currently composed of twelve members.",\bOur\s+Business\b,,10-K/A,2025-04-18,0001628280-25-018318,https://www.sec.gov/Archives/edgar/data/1689731/000162828025018318/ssbk-20241231.htm,SEC submissions API cache,2022-08-12,2022-03-30,0001628280-22-007803,missing_employee_count,2021-08-12,DEF 14A,edgar_filing,2,2,0,1,230,135,2021,2022,"not stated, egc",1,0,0,0,Finance/real estate,Finance / real estate,US,1,Actual US state HQ,AL,"Anniston, AL",Unknown market tier,1,113.0,4.736198448394496,0,50
1875444,ARHS,"Arhaus, Inc.",continued,continued_other_narrative,2025-04-10,0001193125-25-077328,domestic,operating,Accelerated filer,domestic; operating; common stock,5712,Retail-Furniture Stores,Global Select,Nasdaq,ARHS,Nasdaq,DE,1231.0,440-439-7700,"51 EAST HINES HILL ROAD, BOSTON HEIGHTS, OH, 44236",BOSTON HEIGHTS,OH,,2800.0,"December 31, 2025","large (1,000-9,999 employees)",employee_count_from_sec_filing,"Overview Founded in 1986 by John Reed, our Chief Executive Officer (“CE O”), and his father, Arhaus, Inc. (“Arhaus”, “Company”, “we”, “us” or “our”) is a premium home furnishings brand built on a simple idea: furniture and décor should be responsibly sourced, lovingly made, and built to last. We operate a vertically integrated model, designing and sourcing products directly from skilled artisans and carefully selected manufacturing vendors around the world, including domestic upholstery production at our own North Carolina manufacturing facility. This approach enables us to offer a highly exclusive and customizable assortment of heirloom-quality furniture and décor designed to be used and enjoyed for generations. Design is at the core of everything Arhaus does.",\bItem\s+1\.\s+Business\b,"Human Capital As of December 31, 2025, we had approximately 2,800 employees and 30 temporary employees, including approximately 100 part-time employees.",10-K,2026-02-26,0001875444-26-000010,https://www.sec.gov/Archives/edgar/data/1875444/000187544426000010/arhs-20251231.htm,SEC submissions API cache,2022-11-04,2022-04-04,0001193125-22-094328,,2021-11-04,DEF 14A,edgar_filing,4,4,0,1,151,214,2021,2022,accelerated,0,0,0,1,Retail,Retail / consumer,US,1,Actual US state HQ,OH,"Boston Heights, OH",Global Select,0,2800.0,7.937731775260109,1,50
1590418,FCUV,FOCUS UNIVERSAL INC.,continued,continued_same_matrix,2025-04-18,0001683168-25-002686,domestic,operating,Non-accelerated filer<br>Smaller reporting company,domestic; operating; common stock,3823,"Industrial Instruments For Measurement, Display, and Control",Capital Market,Nasdaq,FCUV,Nasdaq,NV,1231.0,(626) 272-3883,"1515 WEST CAMERON AVENUE, SUITE 210, WEST COVINA, CA, 91790",WEST COVINA,CA,,,,,sec_filer_category_only,"Company History and Background. Focus Universal Inc. (the “Company,” “we,” “us,” or “our”) is a Nevada corporation. We are based in the city of Ontario, California, and were incorporated in Nevada in 2012. In December of 2013, we filed an S-1 registration statement that went effective on March 14, 2014. From March 14, 2014, through August 30, 2021, our securities traded on the OTCQB Market. From August 31, 2021, through January 27, 2022, our securities traded on the Nasdaq Capital Market. From January 28, 2022, to September 22, 2024, our securities traded on the Nasdaq Global Market. On September 23, 2024, our securities were transferred for trading to the Nasdaq Capital Market. We hold 28 patents and patents pending in various phases of the patent process. We operate through multiple subsidiaries, including Perfecular Inc. (“Perfecular”), AVX Design and Integration, Inc.",\bItem\s+1\.\s+Business\b,,10-K,2025-02-28,0001683168-25-001278,https://www.sec.gov/Archives/edgar/data/1590418/000168316825001278/focus_i10k-123124.htm,SEC submissions API cache,2022-09-01,2022-04-06,0001683168-22-002377,missing_employee_count,2021-09-01,DEF 14A,edgar_filing,7,2,0,1,217,148,2021,2022,"accelerated, smaller reporting",0,1,0,1,Manufacturing,Other industries,US,1,Actual US state HQ,CA,"West Covina, CA",Capital Market,1,113.0,4.736198448394496,1,50
1649739,BAFN,BayFirst Financial Corp.,continued,continued_other_narrative,2025-04-04,0001649739-25-000110,domestic,operating,<br>Emerging growth company,domestic; operating; common stock,6022,State Commercial Banks,Capital Market,Nasdaq,BAFN,Nasdaq,FL,1231.0,727-399-5600,"700 CENTRAL AVENUE, SUITE 102, ST PETERSBURG, FL, 33701",ST PETERSBURG,FL,,,,,sec_filer_category_only,"BayFirst Financial Corp. BayFirst Financial Corp. is a bank holding company that operates through its wholly owned subsidiary, BayFirst National Bank (the “Bank”), together referred to as “the Company” or “BayFirst”. BayFirst commenced its bank holding company operations on September 1, 2000, by acquiring all shares of the Bank. BayFirst’s primary source of income is from the Bank, which serves a broad spectrum of consumers and small businesses in the Tampa Bay/Sarasota region. BayFirst strives to be a progressive institution in its products and services, technology, design, and social responsibility. As of December 31, 2025, BayFirst had consolidated total assets of $1.30 billion, total loans held for investment of $963.9 million, total deposits of $1.18 billion, and total shareholders’ equity of $87.6 million.",\bItem\s+1\.\s+Business\b,,10-K,2026-03-27,0001649739-26-000014,https://www.sec.gov/Archives/edgar/data/1649739/000164973926000014/bafn-20251231.htm,SEC submissions API cache,2022-11-12,2022-04-07,0001649739-22-000137,missing_employee_count,2021-11-12,DEF 14A,edgar_filing,4,4,0,1,146,219,2021,2022,"not stated, egc",1,0,0,0,Finance/real estate,Finance / real estate,US,1,Actual US state HQ,FL,"St Petersburg, FL",Capital Market,1,113.0,4.736198448394496,1,50
1657853,HTZ,"HERTZ GLOBAL HOLDINGS, INC",not_continued,not_continued_in_reviewed_filings,,,domestic,operating,Large accelerated filer,domestic; operating; common stock,7510,Services-Auto Rental & Leasing (No Drivers),Global Select,Nasdaq,HTZ;HTZWW,Nasdaq;Nasdaq,DE,1231.0,(239) 301-7000,"8501 WILLIAMS ROAD, 3RD FLOOR, ESTERO, FL, 33928",ESTERO,FL,,,,,sec_filer_category_only,"OUR COMPANY Hertz Holdings was incorporated in Delaware in 2015 to serve as the top-level holding company for Rental Car Intermediate Holdings, LLC, which wholly owns Hertz, Hertz Global's primary operating company. Hertz was incorporated in Delaware in 1967 and is a successor to corporations that have been engaged in the vehicle rental and leasing business since 1918. We are engaged principally in the business of renting vehicles primarily through our Hertz, Dollar and Thrifty brands. As of December 31, 2025, we operated our vehicle rental business globally from approximately 11,000 company-operated and franchisee locations across approximately 160 countries and jurisdictions, including the U.S., Europe, Africa, Asia, Australia, Canada, the Caribbean, Latin America, the Middle East and New Zealand.",\bItem\s+1\.\s+Business\b,,10-K,2026-02-26,0001657853-26-000008,https://www.sec.gov/Archives/edgar/data/1657853/000165785326000008/htz-20251231.htm,SEC submissions API cache,2022-11-09,2022-04-08,0001140361-22-013707,missing_employee_count,2021-11-09,DEF 14A,edgar_filing,6,6,0,0,150,215,2021,2022,large accelerated,0,0,1,1,Services,Other industries,US,1,Actual US state HQ,FL,"Estero, FL",Global Select,1,113.0,4.736198448394496,1,50
1789940,FWRG,"First Watch Restaurant Group, Inc.",continued,continued_other_narrative,2025-04-08,0001789940-25-000031,domestic,operating,Large accelerated filer,domestic; operating; common stock,5812,Retail-Eating  Places,Global Select,Nasdaq,FWRG,Nasdaq,DE,1228.0,941-907-9800,"8725 PENDERY PLACE, SUITE 201, BRADENTON, FL, 34201",BRADENTON,FL,,,,,sec_filer_category_only,"First Watch Restaurant Group, Inc. is a Delaware holding company. Unless the context otherwise requires, “we,” “us,” “our,” “First Watch,” the “Company,” “Management” and other similar references refer to First Watch Restaurant Group, Inc. and, unless otherwise stated, all of its subsidiaries. Overview Since opening our doors in 1983, we have been a pioneer in Daytime Dining, serving made-to-order breakfast, brunch and lunch using the freshest of ingredients. We have built our brand on our commitment to operational excellence, our culinary mission centered around a fresh, continuously evolving menu, and our “You First” culture. Our focus on one daytime shift enables us to optimize restaurant operations while generating an average unit volume of $2.3 million per restaurant in 2025 in only 7.5 hours per day.",\bItem\s+1\.\s+Business\b,,10-K,2026-02-24,0001789940-26-000014,https://www.sec.gov/Archives/edgar/data/1789940/000178994026000014/fwrg-20251228.htm,SEC submissions API cache,2022-10-01,2022-04-11,0001789940-22-000044,missing_employee_count,2021-10-01,DEF 14A,edgar_filing,6,6,0,1,192,173,2021,2022,large accelerated,0,0,1,1,Retail,Retail / consumer,US,1,Actual US state HQ,FL,"Bradenton, FL",Global Select,1,113.0,4.736198448394496,1,50
1544522,FRSH,Freshworks Inc.,continued,continued_other_narrative,2025-04-17,0001544522-25-000015,domestic,operating,Large accelerated filer,domestic; operating; common stock,7372,Services-Prepackaged Software,Global Select,Nasdaq,FRSH,Nasdaq,DE,1231.0,(650) 513-0514,"2950 S. DELAWARE ST., SUITE 201, SAN MATEO, CA, 94403",SAN MATEO,CA,,,,,sec_filer_category_only,"Overview We provide people-first AI service software that organizations use to deliver exceptional employee and customer experiences. Our employee experience (EX) products include Freshservice, Freshservice for Business Teams, Device42 and FireHydrant. Our customer experience (CX) products include our Freshdesk suite of products. Our AI offerings, which include Freddy AI Agents, Freddy AI Copilot and Freddy AI Insights, further enhance the employee and customer experience and are designed to boost productivity. Currently, nearly 75,000 companies use Freshworks' uncomplicated solutions to increase employee efficiency and customer loyalty. Our enterprise-grade solutions are powerful, yet easy to use, and quick to deliver results. Our people-first approach to AI is designed to eliminate friction, making employees more effective and organizations more productive.",\bItem\s+1\.\s+Business\b,,10-K,2026-02-26,0001544522-26-000036,https://www.sec.gov/Archives/edgar/data/1544522/000154452226000036/frsh-20251231.htm,SEC submissions API cache,2022-09-22,2022-04-11,0001544522-22-000005,missing_employee_count,2021-09-22,DEF 14A,edgar_filing,7,7,0,1,201,164,2021,2022,large accelerated,0,0,1,1,Services,Technology,US,1,Actual US state HQ,CA,"San Mateo, CA",Global Select,1,113.0,4.736198448394496,1,50
1861795,DH,Definitive Healthcare Corp.,continued,continued_other_narrative,2025-04-23,0000950170-25-057364,domestic,operating,Accelerated filer<br>Smaller reporting company,domestic; operating; common stock,7372,Services-Prepackaged Software,Global Select,Nasdaq,DH,Nasdaq,DE,1231.0,508-720-4224,"492 OLD CONNECTICUT PATH, SUITE 401, FRAMINGHAM, MA, 01701",FRAMINGHAM,MA,,686.0,"December 31, 2025",mid-size (250-999 employees),employee_count_from_sec_filing,", the economy, and other future conditions. Because forward-looking statements relate to the future, by their nature, they are subject to inherent uncertainties, risks, and changes in circumstances that are difficult to predict. As a result, our actual results may differ materially from those contemplated by the forward-looking statements. We caution you against relying on any forward-looking statements, which should also be read in conjunction with the other cautionary statements that are included elsewhere in this Annual Report, including under “",\bOur\s+Business\b,"As of December 31, 2025, our workforce included 686 employees — of whom 678 were employed full time.",10-K,2026-02-26,0001193125-26-076782,https://www.sec.gov/Archives/edgar/data/1861795/000119312526076782/dh-20251231.htm,SEC submissions API cache,2022-09-15,2022-04-12,0001193125-22-102925,,2021-09-15,DEF 14A,edgar_filing,6,6,0,1,209,156,2021,2022,"accelerated, smaller reporting",0,1,0,1,Services,Technology,US,1,Actual US state HQ,MA,"Framingham, MA",Global Select,0,686.0,6.532334292222349,1,50
