field,value,n,continued,not_continued,continued_share,continued_share_ci_low,continued_share_ci_high,ci_width,diff_vs_overall_pp,signal_confidence
hq_state_for_analysis,PA,3,3,0,1.0,0.43849391955098227,1.0,0.5615060804490177,28.57142857142857,too small
hq_state_for_analysis,VA,2,2,0,1.0,0.34237195288961925,1.0,0.6576280471103808,28.57142857142857,too small
hq_state_for_analysis,AL,1,1,0,1.0,0.20654329147389294,1.0,0.7934567085261071,28.57142857142857,too small
hq_state_for_analysis,DC,1,1,0,1.0,0.20654329147389294,1.0,0.7934567085261071,28.57142857142857,too small
hq_state_for_analysis,DE,1,1,0,1.0,0.20654329147389294,1.0,0.7934567085261071,28.57142857142857,too small
hq_state_for_analysis,KS,1,1,0,1.0,0.20654329147389294,1.0,0.7934567085261071,28.57142857142857,too small
hq_state_for_analysis,KY,1,1,0,1.0,0.20654329147389294,1.0,0.7934567085261071,28.57142857142857,too small
hq_state_for_analysis,MD,1,1,0,1.0,0.20654329147389294,1.0,0.7934567085261071,28.57142857142857,too small
hq_state_for_analysis,TX,7,6,1,0.8571428571428571,0.48686549668097007,0.9743210440510253,0.4874555473700552,14.28571428571428,early signal
hq_state_for_analysis,NY,11,9,2,0.8181818181818182,0.5230138624217553,0.9486333993289995,0.4256195369072442,10.389610389610393,directional
hq_state_for_analysis,CA,40,32,8,0.8,0.6524239261814333,0.8950013502683314,0.24257742408689809,8.571428571428575,stronger descriptive signal
hq_state_for_analysis,OH,4,3,1,0.75,0.3006360524426366,0.9544139373553637,0.6537778849127271,3.57142857142857,too small
hq_state_for_analysis,FL,15,11,4,0.7333333333333333,0.4804911034231324,0.8910272389681718,0.4105361355450394,1.904761904761898,directional
hq_state_for_analysis,MA,18,10,8,0.5555555555555556,0.3371606942825164,0.7544076889861088,0.4172469947035924,-15.873015873015872,directional
hq_state_for_analysis,IL,2,1,1,0.5,0.09452865480086614,0.9054713451991339,0.8109426903982677,-21.42857142857143,too small
hq_state_for_analysis,NJ,2,1,1,0.5,0.09452865480086614,0.9054713451991339,0.8109426903982677,-21.42857142857143,too small
hq_state_for_analysis,CO,3,1,2,0.3333333333333333,0.0614903152761605,0.7923450448735121,0.7308547295973515,-38.0952380952381,too small
hq_state_for_analysis,WA,2,0,2,0.0,0.0,0.6576280471103807,0.6576280471103807,-71.42857142857143,too small
hq_state_for_analysis,AZ,1,0,1,0.0,0.0,0.7934567085261071,0.7934567085261071,-71.42857142857143,too small
hq_state_for_analysis,NC,1,0,1,0.0,0.0,0.7934567085261071,0.7934567085261071,-71.42857142857143,too small
hq_state_for_analysis,NV,1,0,1,0.0,0.0,0.7934567085261071,0.7934567085261071,-71.42857142857143,too small
hq_state_for_analysis,SC,1,0,1,0.0,0.0,0.7934567085261071,0.7934567085261071,-71.42857142857143,too small
