cik,ticker,legal_name,exchange,market_tier,issuer_type,country,sic,sic_description,nasdaq_listing_date,initial_matrix_due_date,narrow_matured_cohort,due_after_vacatur,initial_matrix_status,initial_matrix_publication_date,initial_matrix_source,source_url,source_type,form_type,matched_query,initial_matrix_confidence,observed_text_excerpt
1689731,,"Southern States Bancshares, Inc.",Nasdaq,,domestic,AL,6022,State Commercial Banks,2021-08-12,2022-08-12,1,0,published_on_time,2022-03-30,0001628280-22-007803,https://www.sec.gov/Archives/edgar/data/1689731/000162828022007803/a2022proxy-def14a.htm,edgar_filing,DEF 14A,Board Diversity Matrix;Total Number of Directors;Did Not Disclose Gender;Did Not Disclose Demographic Background,0.95,"d of director’s priority in selecting board members is the identification of persons who will further the interests of our stockholders through his or her record of professional and personal experiences and expertise relevant to our growth strategy. Board Diversity Matrix The table below contains information based on the voluntary self-identification of each member of the Company’s board as of March 30, 2022. Board Diversity Matrix (as of March 23, 2022) Total Number of Directors 11 Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 1 10 0 0 Part II: Demographic Background African American or Black 0 1 0 0 Alaskan Native or Native American 0 0 0 0 Asian 0 0 0 0 Hispanic or Latinx 0 0 0 0 Native Hawaiian or Pacific Islander 0 0 0 0 White 1 9 0 0 Two or More Races or Ethnicities 0 0 0 0 LGBTQ+ 0 Did Not Disclose Demographic Background 0 Director Independence U"
1853816,DRMA,"Dermata Therapeutics, Inc.",Nasdaq,Capital Market,domestic,CA,2834,Pharmaceutical Preparations,2021-08-13,2022-08-13,1,0,published_on_time,2022-06-01,0001654954-22-007809,https://www.sec.gov/Archives/edgar/data/1853816/000165495422007809/drma_def14a.htm,edgar_filing,DEF 14A,Board Diversity Matrix;Total Number of Directors;Did Not Disclose Gender;Did Not Disclose Demographic Background,0.95,"ders through his or her established record of professional accomplishment, the ability to contribute positively to the collaborative culture among board members, knowledge of our business and understanding of the competitive landscape. The following Board Diversity Matrix presents our board diversity statistics in accordance with Nasdaq Rule 5606. The information is based on our directors’ self-reporting. As we pursue future board recruitment efforts, our Nominating and Corporate Governance Committee will continue to seek candidates who can contribute to the diversity of views and perspectives of the board. Board Diversity Matrix (As of May 1, 2022) Total Number of Directors: 8 Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 3 5 Part II: Demographic Background African American or Black Alaskan Native or Native American Asian Hispanic or Latin Native Hawai"
1534154,AUID,authID Inc.,Nasdaq,Capital Market,domestic,CO,7372,Services-Prepackaged Software,2021-08-25,2022-08-25,1,0,published_on_time,2022-08-05,0001213900-22-044960,https://www.sec.gov/Archives/edgar/data/1534154/000121390022044960/ea163261-def14a_authidinc.htm,edgar_filing,DEF 14A,Board Diversity Matrix;Total Number of Directors,0.85,"t two diverse directors, including one who self-identifies as female and one who self-identifies as either an underrepresented minority or LGBTQ+. The chart below provides certain information regarding the diversity of the Board as of June 27, 2022. Board Diversity Matrix as of June 27, 2022 Total Number of Directors 8 Female Male Non-Binary Part I: Gender Identity Directors 2 6 - Part II: Demographic Background African American or Black - - - Alaskan Native or Native American - - - Asian 1 - - Hispanic or Latinx - 1 - Native Hawaiian or Pacific Islander - - - White 1 6 - Two or More Races or Ethnicities - - - LGBTQ+ 0 0 0 Board Leadership Structure and Role in Risk Oversight The Board recognizes that the leadership structure and combination or separation of the CEO and Chairman roles is driven by the needs of the Company at any point in time. As a result, no policy exists requiring comb"
1574094,RNXT,"RenovoRx, Inc.",Nasdaq,Capital Market,domestic,CA,2834,Pharmaceutical Preparations,2021-08-26,2022-08-26,1,0,published_on_time,2022-04-29,0001493152-22-011553,https://www.sec.gov/Archives/edgar/data/1574094/000149315222011553/formdef14-a.htm,edgar_filing,DEF 14A,Board Diversity Matrix;Total Number of Directors;Did Not Disclose Gender;Did Not Disclose Demographic Background,0.95,"on, skill, and other individual qualities and attributes that contribute to the total mix of viewpoints and experience represented on our Board of Directors. Board Diversity Our directors represent a wide variety of skills and backgrounds. The below Board Diversity Matrix reports self-identified diversity statistics for the Board in the format required by the Nasdaq Marketplace Rules. As demonstrated by the Board Diversity Matrix, the Company is compliant with the diversity requirements of Nasdaq Rule 5605(f) and the California Corporations Code. Board Diversity Matrix (as of April 29, 2022) Total Number of Directors 6 Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 2 4 0 0 Part II: Demographic Background African American or Black 0 0 0 0 Alaskan Native or Native American 0 0 0 0 Asian 0 1 0 0 Hispanic or Latinx 0 0 0 0 Native Hawaiian or Pacific Islander"
1590418,FCUV,FOCUS UNIVERSAL INC.,Nasdaq,Capital Market,domestic,CA,3823,"Industrial Instruments For Measurement, Display, and Control",2021-09-01,2022-09-01,1,0,published_on_time,2022-04-06,0001683168-22-002377,https://www.sec.gov/Archives/edgar/data/1590418/000168316822002377/focus_def14a.htm,edgar_filing,DEF 14A,Board of Directors Diversity Matrix;Directors Diversity Matrix;Did Not Disclose Demographic Background,0.85,"son of Audit Committee. (5) Chairperson of Compensation Committee. (6) Chairperson of Nominating and Corporate Governance Committee. 2 The following provides certain information with respect to the diversity of our nominees and continuing directors. Board of Directors Diversity Matrix Total Director Nominees and Continuing Directors 7 Female Male Gender Identity Directors 3 4 Demographic Background African American or Black – – Alaskan Native or Native American – – Asian 1 2 Hispanic, Latinx or Spanish Origin – – Native Hawaiian or Pacific Islander – – White 2 2 Other – – Two or More Races of Ethnicities – – LGBTQ+ – Did not Disclose Demographic Background – The Board of Directors recommends a vote FOR the election of Dr. Desheng Wang, Dr. Edward Lee, Dr. Jennifer Gu, Michael Pope, Sheri Lofgren, Carine Clark and Greg Butterfield to the Board of Directors. Biographical Information Regard"
1588978,PRCT,PROCEPT BioRobotics Corp,Nasdaq,Global Market,domestic,CA,3841,Surgical & Medical Instruments & Apparatus,2021-09-15,2022-09-15,1,0,published_on_time,2022-04-28,0001628280-22-011112,https://www.sec.gov/Archives/edgar/data/1588978/000162828022011112/procept2022proxy.htm,edgar_filing,DEF 14A,Board Diversity Matrix;Total Number of Directors;Did Not Disclose Gender;Did Not Disclose Demographic Background,0.95,"e committed to sharing information related to our corporate responsibility and ESG related programs, priorities, goals, and performance and we intend to compile and publish a report on these topics within the next year. Director Skills and Diversity Board Diversity Matrix (As of April 28, 2022) Total Number of Directors 9 Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 3 6 — — Part II: Demographic Background African American or Black — — — — Alaskan Native or Native American — — — — Asian — 1 — — Hispanic or Latinx 1 — — — Native Hawaiian or Pacific Islander — — — — White 2 5 — — Two or More Races or Ethnicities — — — — LGBTQ+ — — — — Did Not Disclose Demographic Background — — — — INFORMATION REGARDING COMMITTEES OF THE BOARD OF DIRECTORS The Board has a number of committees that perform certain functions for the Board. The current standing committees of"
1645569,,"DICE Therapeutics, Inc.",Nasdaq,Global Market,domestic,CA,2834,Pharmaceutical Preparations,2021-09-15,2022-09-15,1,0,published_on_time,2022-04-26,0001564590-22-015687,https://www.sec.gov/Archives/edgar/data/1645569/000156459022015687/dice-def14a_20220607.htm,edgar_filing,DEF 14A,Board Diversity Matrix;Total Number of Directors;Did Not Disclose Gender;Did Not Disclose Demographic Background,0.95,"d its committees. While we have not adopted a specific policy regarding Board diversity, we value diversity on a company-wide basis. The following table sets forth the diversity statistics as self-identified by the members of our Board of Directors. Board Diversity Matrix (As of March 31, 2022) Total Number of Directors 8 Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 1 5 — 2 Part II: Demographic Background Asian — 1 — — White 1 4 — — Did Not Disclose Demographic Background — — — 2 5 Committees of Our Board of Directors Our Board of Directors has established an Audit Committee, a Compensation Committee, a Nominating and Corporate Governance Committee, and a Research and Development Committee, each of which has the composition and responsibilities described below. Members serve on these committees until their resignation or until otherwise determined by o"
1817004,NXXT,"NEXTNRG, INC.",Nasdaq,Capital Market,domestic,FL,5500,Retail-Auto Dealers & Gasoline Stations,2021-09-15,2022-09-15,1,0,published_on_time,2022-04-25,0001493152-22-010860,https://www.sec.gov/Archives/edgar/data/1817004/000149315222010860/def14a.htm,edgar_filing,DEF 14A,Board Diversity Matrix;Total Number of Directors;Did Not Disclose Gender;Did Not Disclose Demographic Background,0.95,"other corporate board memberships. ● Compatibility. The Board candidate should be able to develop a good working relationship with other Board members and contribute to the Board’s working relationship with the senior management of the Company. The Board Diversity Matrix, below, provides certain highlights of the composition of our board members and nominees. Each of the categories listed in the below table has the meaning as it is used in Nasdaq Rule 5605(f). Board Diversity Matrix (as of April 15, 2022) Total Number of Directors 7 Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 1 6 African American or Black - - - - Alaskan Native or Native American - - - - Asian - - - - Hispanic or Latinx - 1 - - Native Hawaiian or Pacific Islander - - - - White 1 5 - - Two or More Races or Ethnicities - - - - LGBTQ+ - Did Not Disclose Demographic Background - Informati"
1841330,KTTA,Pasithea Therapeutics Corp.,Nasdaq,Capital Market,domestic,FL,2834,Pharmaceutical Preparations,2021-09-15,2022-09-15,1,0,published_on_time,2022-05-13,0001213900-22-026293,https://www.sec.gov/Archives/edgar/data/1841330/000121390022026293/ea159602-def14a_pasitheathe.htm,edgar_filing,DEF 14A,Board Diversity Matrix;Total Number of Directors;Did Not Disclose Gender;Did Not Disclose Demographic Background,0.95,"new listing rules relating to board diversity and disclosure. As approved by the SEC, the new Nasdaq listing rules require all Nasdaq listed companies to disclose consistent, transparent diversity statistics regarding their boards of directors. The Board Diversity Matrix below presents the Board’s diversity statistics in the format prescribed by the Nasdaq rules. Board Diversity Matrix (As of May 13, 2022) Total Number of Directors 5 Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 0 5 0 0 Part II: Demographic Background African American or Black 0 0 0 0 Alaskan Native or Native American 0 0 0 0 Asian 0 0 0 0 Hispanic or Latinx 0 0 0 0 Native Hawaiian or Pacific Islander 0 0 0 0 White 0 4 0 0 Two or More Races or Ethnicities 0 1 0 0 LGBTQ+ 0 0 0 0 Did Not Disclose Demographic Background 0 0 0 0 Section 16(a) Reporting Section 16(a) of the Exchange Act requ"
1861795,DH,Definitive Healthcare Corp.,Nasdaq,Global Select,domestic,MA,7372,Services-Prepackaged Software,2021-09-15,2022-09-15,1,0,published_on_time,2022-04-12,0001193125-22-102925,https://www.sec.gov/Archives/edgar/data/1861795/000119312522102925/d290538ddef14a.htm,edgar_filing,DEF 14A,Board Diversity Matrix;Total Number of Directors,0.85,"trading policy also prohibits directors, officers and employees from pledging the Company’s stock as collateral for loans. Board Diversity The following table sets forth certain diversity statistics concerning the members of the Board of Directors: Board Diversity Matrix (as of April 12, 2022) Total Number of Directors 10 Female Male Part I: Gender Identity Directors 3 7 Part II: Demographic Background White 3 7 Executive Officers of the Company Set forth below is certain information regarding each of our current executive officers, other than Messrs. Krantz and Musslewhite, each of whom also serve as directors of the Company. For biographical information for Messrs. Krantz and Musslewhite, see “Proposal No. 1 – Election of Class I Directors — Nominees for Election to the Board of Directors in 2022” and “Proposal No. 1 – Election of Class I Directors — Continuing Members of the Board of "
