observation_id,cik,source_type,form_type,publication_date,accession_or_url,live_url,result,failed_check
44,1868941,edgar_filing,DEF 14A,2022-01-28,0001140361-22-003004,https://www.sec.gov/Archives/edgar/data/1868941/000114036122003004/ny20002104x1_def14a.htm,PASS,(none)
25,1865408,edgar_filing,20-F,2022-03-23,0001865408-22-000005,https://www.sec.gov/Archives/edgar/data/1865408/000186540822000005/exai-20211231.htm,PASS,(none)
1,1689731,edgar_filing,DEF 14A,2022-03-30,0001628280-22-007803,https://www.sec.gov/Archives/edgar/data/1689731/000162828022007803/a2022proxy-def14a.htm,PASS,(none)
52,1875444,edgar_filing,DEF 14A,2022-04-04,0001193125-22-094328,https://www.sec.gov/Archives/edgar/data/1875444/000119312522094328/d295938ddef14a.htm,PASS,(none)
5,1590418,edgar_filing,DEF 14A,2022-04-06,0001683168-22-002377,https://www.sec.gov/Archives/edgar/data/1590418/000168316822002377/focus_def14a.htm,PASS,(none)
70,1649739,edgar_filing,DEF 14A,2022-04-07,0001649739-22-000137,https://www.sec.gov/Archives/edgar/data/1649739/000164973922000137/def14a-proxy2022.htm,PASS,(none)
56,1657853,edgar_filing,DEF 14A,2022-04-08,0001140361-22-013707,https://www.sec.gov/Archives/edgar/data/1657853/000114036122013707/edge20001995x1_def14a.htm,PASS,(none)
13,1544522,edgar_filing,DEF 14A,2022-04-11,0001544522-22-000005,https://www.sec.gov/Archives/edgar/data/1544522/000154452222000005/freshworks-proxystatement2.htm,PASS,(none)
24,1789940,edgar_filing,DEF 14A,2022-04-11,0001789940-22-000044,https://www.sec.gov/Archives/edgar/data/1789940/000178994022000044/fwrg-proxystatement2022.htm,PASS,(none)
10,1861795,edgar_filing,DEF 14A,2022-04-12,0001193125-22-102925,https://www.sec.gov/Archives/edgar/data/1861795/000119312522102925/d290538ddef14a.htm,PASS,(none)
51,1625278,edgar_filing,DEF 14A,2022-04-14,0001193125-22-104971,https://www.sec.gov/Archives/edgar/data/1625278/000119312522104971/d258585ddef14a.htm,PASS,(none)
54,1865494,edgar_filing,DEF 14A,2022-04-14,0001193125-22-105529,https://www.sec.gov/Archives/edgar/data/1865494/000119312522105529/d112845ddef14a.htm,PASS,(none)
84,1598981,edgar_filing,DEF 14A,2022-04-19,0001493152-22-010422,https://www.sec.gov/Archives/edgar/data/1598981/000149315222010422/formdef14a.htm,PASS,(none)
47,1689375,edgar_filing,DEF 14A,2022-04-19,0001104659-22-047338,https://www.sec.gov/Archives/edgar/data/1689375/000110465922047338/tm2212715-1_def14a.htm,PASS,(none)
15,1782170,edgar_filing,DEF 14A,2022-04-19,0001782170-22-000068,https://www.sec.gov/Archives/edgar/data/1782170/000178217022000068/relyproxystatement2022.htm,PASS,(none)
22,1868726,edgar_filing,DEF 14A,2022-04-19,0001868726-22-000019,https://www.sec.gov/Archives/edgar/data/1868726/000186872622000019/olaplexincproxy.htm,PASS,(none)
46,1607939,edgar_filing,DEF 14A,2022-04-20,0001607939-22-000021,https://www.sec.gov/Archives/edgar/data/1607939/000160793922000021/udemyinc-definitiveproxyst.htm,PASS,(none)
63,1462056,edgar_filing,DEF 14A,2022-04-21,0001193125-22-112978,https://www.sec.gov/Archives/edgar/data/1462056/000119312522112978/d363594ddef14a.htm,PASS,(none)
36,1482981,edgar_filing,DEF 14A,2022-04-21,0001193125-22-113049,https://www.sec.gov/Archives/edgar/data/1482981/000119312522113049/d309576ddef14a.htm,PASS,(none)
26,1784567,edgar_filing,DEF 14A,2022-04-21,0001493152-22-010645,https://www.sec.gov/Archives/edgar/data/1784567/000149315222010645/formdef14a.htm,PASS,(none)
39,1452965,edgar_filing,DEF 14A,2022-04-22,0001193125-22-115153,https://www.sec.gov/Archives/edgar/data/1452965/000119312522115153/d301911ddef14a.htm,PASS,(none)
17,1844280,edgar_filing,DEF 14A,2022-04-22,0001193125-22-115188,https://www.sec.gov/Archives/edgar/data/1844280/000119312522115188/d479811ddef14a.htm,PASS,(none)
74,1862150,edgar_filing,DEF 14A,2022-04-22,0001493152-22-010723,https://www.sec.gov/Archives/edgar/data/1862150/000149315222010723/formdef14a.htm,PASS,(none)
28,1455365,edgar_filing,DEF 14A,2022-04-25,0001104659-22-049727,https://www.sec.gov/Archives/edgar/data/1455365/000110465922049727/tm2213252-1_def14a.htm,PASS,(none)
27,1745020,edgar_filing,DEF 14A,2022-04-25,0001558370-22-005880,https://www.sec.gov/Archives/edgar/data/1745020/000155837022005880/tmb-20220610xdef14a.htm,PASS,(none)
57,1781730,edgar_filing,DEF 14A,2022-04-25,0001193125-22-117790,https://www.sec.gov/Archives/edgar/data/1781730/000119312522117790/d303316ddef14a.htm,PASS,(none)
8,1817004,edgar_filing,DEF 14A,2022-04-25,0001493152-22-010860,https://www.sec.gov/Archives/edgar/data/1817004/000149315222010860/def14a.htm,PASS,(none)
18,1856608,edgar_filing,DEF 14A,2022-04-25,0001558370-22-005891,https://www.sec.gov/Archives/edgar/data/1856608/000155837022005891/tmb-20220609xdef14a.htm,PASS,(none)
21,1866692,edgar_filing,DEF 14A,2022-04-25,0001193125-22-117799,https://www.sec.gov/Archives/edgar/data/1866692/000119312522117799/d334704ddef14a.htm,PASS,(none)
50,1412558,edgar_filing,20-F,2022-04-26,0001104659-22-049929,https://www.sec.gov/Archives/edgar/data/1412558/000110465922049929/evo-20211231x20f.htm,PASS,(none)
