cik,ticker,legal_name,exchange,market_tier,issuer_type,country,sic,sic_description,nasdaq_listing_date,initial_matrix_due_date,narrow_matured_cohort,due_after_vacatur,initial_matrix_status,initial_matrix_publication_date,initial_matrix_source,source_url,source_type,form_type,matched_query,initial_matrix_confidence,observed_text_excerpt
1969401,UZX,Linkage Global Inc,Nasdaq,Capital Market,foreign_private_issuer,M0,5961,Retail-Catalog & Mail-Order Houses,2023-12-19,2024-12-19,0,1,published_on_time,2024-04-12,0001213900-24-032553,https://www.sec.gov/Archives/edgar/data/1969401/000121390024032553/ea0203385-20f_linkage.htm,edgar_filing,20-F,Board Diversity Matrix;Total Number of Directors;Did Not Disclose Gender;Did Not Disclose Demographic Background,0.95,"Jiangxi University of Finance and Economics in China in 1999 with a bachelor’s degree in accounting. Board Diversity The table below provides certain information regarding the diversity of our board of directors as of the date of this annual report. Board Diversity Matrix Country of Principal Executive Offices: Japan Foreign Private Issuer Yes Disclosure Prohibited under Home Country Law No Total Number of Directors 5 Female Male Non- Binary Did Not Disclose Gender Part I: Gender Identity Directors 1 4 0 0 Part II: Demographic Background Underrepresented Individual in Home Country Jurisdiction 1 LGBTQ+ 0 Did Not Disclose Demographic Background 0 97 Family Relationships None of our directors or executive officers has a family relationship as defined in Item 401 of Regulation S-K. Controlled Company Our CEO and Chairman of the Board of Directors, Mr. Zhihua Wu, as the concerted actor and t"
1931717,CCTG,CCSC Technology International Holdings Ltd,Nasdaq,Capital Market,foreign_private_issuer,Hong Kong,3640,Electric Lighting & Wiring Equipment,2024-01-18,2025-01-18,0,1,published_on_time,2024-07-22,0001013762-24-000458,https://www.sec.gov/Archives/edgar/data/1931717/000101376224000458/ea0209328-20f_ccsctechno.htm,edgar_filing,20-F,Board Diversity Matrix;Total Number of Directors;Did Not Disclose Gender;Did Not Disclose Demographic Background,0.95,"directors or executive officers has a family relationship as defined in Item 401 of Regulation S-K. Board Diversity The table below provides certain information regarding the diversity of our board of directors as of the date of this annual report. Board Diversity Matrix Country of Principal Executive Offices: Hong Kong, China Foreign Private Issuer Yes Disclosure Prohibited under Home Country Law No Total Number of Directors 7 Female Male Non- Binary Did Not Disclose Gender Part I: Gender Identity Directors 2 5 0 0 Part II: Demographic Background Underrepresented Individual in Home Country Jurisdiction 0 LGBTQ+ 0 Did Not Disclose Demographic Background 0 75 Involvement in Certain Legal Proceedings To the best of our knowledge, none of our directors or executive officers has, during the past ten years, been involved in any legal proceedings described in subparagraph (f) of Item 401 of Re"
1948436,JL,J-Long Group Ltd,Nasdaq,Capital Market,foreign_private_issuer,K3,5600,Retail-Apparel & Accessory Stores,2024-01-24,2025-01-24,0,1,published_on_time,2024-07-31,0001013762-24-003327,https://www.sec.gov/Archives/edgar/data/1948436/000101376224003327/ea0209791-20f_jlonggroup.htm,edgar_filing,20-F,Board Diversity Matrix;Total Number of Directors;Did Not Disclose Gender;Did Not Disclose Demographic Background,0.95,"ent, the ability to contribute positively to the collaborative culture among Board members, knowledge of our business, understanding of the competitive landscape and professional and personal experience and expertise relevant to our growth strategy. Board Diversity Matrix as of March 31, 2024 Country of Principal Executive Offices Hong Kong Foreign Private Issuer Yes Disclosure Prohibited under Home Country Law No Total Number of Directors 5 Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 1 4 N/A N/A Part II: Demographic Background Underrepresented Individual in Home Country Jurisdiction 0 LGBTQ+ 0 Did Not Disclose Demographic Background 0 Committees of the Board of Directors We have established an audit committee, a compensation committee and a nominating and corporate governance committee under the Board of Directors. Effective December 29, 2023, we ado"
1969863,SUGP,SU Group Holdings Ltd,Nasdaq,Capital Market,foreign_private_issuer,Hong Kong,7381,"Services-Detective, Guard & Armored Car Services",2024-01-24,2025-01-24,0,1,published_on_time,2024-01-31,0001213900-24-008504,https://www.sec.gov/Archives/edgar/data/1969863/000121390024008504/f20f2023_sugroup.htm,edgar_filing,20-F,Board Diversity Matrix;Total Number of Directors;Did Not Disclose Gender;Did Not Disclose Demographic Background,0.95,"ficers or other person pursuant to which such person was selected to serve as a director or officer. Board Diversity The table below provides certain information regarding the diversity of our board of directors as of the date of this annual report. Board Diversity Matrix Country of Principal Executive Offices: Hong Kong Foreign Private Issuer Yes Disclosure Prohibited under Home Country Law No Total Number of Directors 5 Female Male Non- Binary Did Not Disclose Gender Part I: Gender Identity Directors 1 4 0 0 Part II: Demographic Background Underrepresented Individual in Home Country Jurisdiction 0 LGBTQ+ 0 Did Not Disclose Demographic Background 0 83 6.B. Compensation For the fiscal years ended September 30, 2022 and 2023, we paid an aggregate of HK$3.5 million and HK$4.0 million, respectively, in cash (including salaries and mandatory provident fund contributions) to our directors and"
1868395,YIBO,Planet Image International Ltd,Nasdaq,Capital Market,foreign_private_issuer,China,3577,"Computer Peripheral Equipment, NEC",2024-01-25,2025-01-25,0,1,published_on_time,2024-04-29,0001213900-24-037184,https://www.sec.gov/Archives/edgar/data/1868395/000121390024037184/ea0204492-20f_planet.htm,edgar_filing,20-F,Board Diversity Matrix;Total Number of Directors;Did Not Disclose Gender;Did Not Disclose Demographic Background,0.95,"anagement from Hangzhou College of Commerce of the Zhejiang Gongshang University in the PRC in 1995. Board Diversity The table below provides certain information regarding the diversity of our board of directors as of the date of this annual report. Board Diversity Matrix Country of Principal Executive Offices: China Foreign Private Issuer Yes Disclosure Prohibited under Home Country Law No Total Number of Directors 5 Female Male Non- Binary Did Not Disclose Gender Part I: Gender Identity Directors 2 3 0 0 Part II: Demographic Background Underrepresented Individual in Home Country Jurisdiction 0 LGBTQ+ 0 Did Not Disclose Demographic Background 0 99 Family Relationships None of our directors or executive officers has a family relationship as defined in Item 401 of Regulation S-K. Controlled Company Our chairman of the board of directors, Mr. Weidong Gu, beneficially owns 22.22% of our iss"
1868279,AVBP,"ArriVent BioPharma, Inc.",Nasdaq,Global Market,domestic,PA,2834,Pharmaceutical Preparations,2024-01-26,2025-01-26,0,1,published_on_time,2024-03-28,0001558370-24-004280,https://www.sec.gov/Archives/edgar/data/1868279/000155837024004280/tmb-20231231x10k.htm,edgar_filing,10-K,Board Diversity Matrix;Total Number of Directors;Did Not Disclose Gender;Did Not Disclose Demographic Background,0.95,"ance committee will also consider these and other factors as it oversees the annual board of directors and committee evaluations. ​ 149 Table of Contents The table below provides certain information regarding the diversity of our board of directors: Board Diversity Matrix (As of March 22, 2024) Board Size: Total Number of Directors 6 Female Male Non-Binary Did not Disclose Gender Gender Identity: Directors 1 4 — 1 Number of Directors Who Identify in Any of the Categories Below: African American or Black — — — — Alaskan Native or Native American — — — — Asian — 1 — — Hispanic or Latinx — — — — Native Hawaiian or Pacific Islander — — — — White — 2 — — Two or More Races or Ethnicities — — — — LGBTQ+ — Persons with Disabilities — Did Not Disclose Demographic Background 3 ​ Corporate Code of Conduct and Ethics We have adopted a corporate code of conduct and ethics that applies to all of our e"
1954594,HAO,Haoxi Health Technology Ltd,Nasdaq,Capital Market,foreign_private_issuer,China,7311,Services-Advertising Agencies,2024-01-26,2025-01-26,0,1,published_on_time,2024-10-29,0001213900-24-091443,https://www.sec.gov/Archives/edgar/data/1954594/000121390024091443/ea0218492-20f_haoxi.htm,edgar_filing,20-F,Board Diversity Matrix;Total Number of Directors;Did Not Disclose Gender;Did Not Disclose Demographic Background,0.95,"’s re-appointment at the next annual general meeting, unless the director has sooner vacated office. Board Diversity The table below provides certain information regarding the diversity of our board of directors as of the date of this annual report. Board Diversity Matrix Country of Principal Executive Offices: China Foreign Private Issuer Yes Disclosure Prohibited under Home Country Law No Total Number of Directors 5 Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 1 4 0 0 Part II: Demographic Background Underrepresented Individual in Home Country Jurisdiction 0 LGBTQ+ 0 Did Not Disclose Demographic Background 0 81 Family Relationships None of our directors or executive officers has a family relationship as defined in Item 401 of Regulation S-K. Controlled Company As of the date of this annual report, our CEO, Mr. Zhen Fan, beneficially owns 83.97% of the"
1958777,FBLG,"FibroBiologics, Inc.",Nasdaq,Capital Market,domestic,TX,2834,Pharmaceutical Preparations,2024-01-31,2025-01-31,0,1,published_on_time,2024-07-08,0001493152-24-026435,https://www.sec.gov/Archives/edgar/data/1958777/000149315224026435/formdef14a.htm,edgar_filing,DEF 14A,Board Diversity Matrix;Total Number of Directors;Did Not Disclose Demographic Background,0.95,"stockholder value and reflect our corporate values of integrity, honesty and adherence to high ethical standards. The following charts illustrate certain attributes of our directors, including age, tenure, independence, experience and diversity. 16 Board Diversity Matrix (As of July 1, 2024) Total Number of Directors 6 Female Male Non-Binary Gender Undisclosed Part I: Gender Identity Directors 2 2 2 Part II: Demographic Background African American or Black 1 Alaskan Native or American Indian Asian Hispanic or Latinx Native Hawaiian or Pacific Islander White 2 2 Two or More Races or Ethnicities 1 LGBTQ+ - Did Not Disclose Demographic Background 2 Independence of the Board The Board has determined that all members of the Board, except Pete O’Heeron, are independent directors for purposes of the rules of Nasdaq and the SEC. In making this determination, the Board considered the relationship"
1916416,INTJ,Intelligent Group Ltd,Nasdaq,Capital Market,foreign_private_issuer,Hong Kong,8742,Services-Management Consulting Services,2024-03-20,2025-03-20,0,1,published_on_time,2024-03-29,0001213900-24-028046,https://www.sec.gov/Archives/edgar/data/1916416/000121390024028046/ea0201730-20f_intell.htm,edgar_filing,20-F,Board Diversity Matrix;Total Number of Directors;Did Not Disclose Gender;Did Not Disclose Demographic Background,0.95,"g Company Limited, the shares of which are listed on the HK Stock Exchange (HKSE: 1701) from June 2019 to June 2020. Family Relationships None of our directors or executive officers has a family relationship as defined in Item 401 of Regulation S-K. Board Diversity Matrix Country of Principal Executive Offices Hong Kong Foreign Private Issuer Yes Disclosure Prohibited under Home Country Law No Total Number of Directors 4 Female Male Non-Binary Did not Disclose Gender Part I: Gender Identity Directors 2 2 0 0 Part II: Demographic Background Underrepresented Individual in Home Country Jurisdiction 0 LGBTQ+ 0 Did Not Disclose Demographic Background 0 49 B. Compensation For the year ended November 30, 2023, we paid an aggregate of HK$498,000 (US$63,768) (including salaries, bonus and mandatory provident fund) to our directors. Our Hong Kong subsidiary is required by law to contribute amounts"
1888525,UBXG,U-BX Technology Ltd.,Nasdaq,Capital Market,foreign_private_issuer,China,7370,"Services-Computer Programming, Data Processing, Etc.",2024-03-28,2025-03-28,0,1,published_on_time,2024-10-30,0001213900-24-092312,https://www.sec.gov/Archives/edgar/data/1888525/000121390024092312/ea0218094-20f_ubxtech.htm,edgar_filing,20-F,Board Diversity Matrix;Total Number of Directors;Did Not Disclose Gender,0.95,"and experience so as to facilitate robust debate and broad thinking on strategies and tactics pursued by us. 82 The following table provides certain information regarding the diversity of our Board of Directors as of the date of this annual report. Board Diversity Matrix (As of the date of this annual report) Country of Principal Executive Offices: China Foreign Private Issuer Yes Disclosure Prohibited Under Home Country Law No Total Number of Directors 4 Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 1 3 0 0 Part II: Demographic Background Underrepresented Individual in Home Country Jurisdiction — LGBTQ+ — 6.D. Employees As of June 30, 2024 and as of the date of this annual report, we had a total of 17 full-time employees. As of June 30, 2024 and as of the date of this annual report, we have no part-time employees. Department June 30, 2024 Senior Manage"
