cik,ticker,legal_name,exchange,market_tier,security_type,nasdaq_listing_date,listing_date_basis,listing_confidence,initial_matrix_due_date,in_scope_nasdaq,broad_cohort,narrow_matured_cohort,edge_case,exclusion_reason,confidence,review_reason,initial_matrix_status,initial_matrix_source,initial_matrix_confidence,notes
1804469,GFAI,"Guardforce AI Co., Ltd.",Nasdaq,Capital Market,ordinary shares,2021-09-30,pricing_proxy,0.75,2022-09-30,1,1,1,0,,0.8,pricing_proxy_listing_date;listing_date_confidence_below_0.8,,,,Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1876581,IMPP,Imperial Petroleum Inc./Marshall Islands,Nasdaq,Capital Market,common stock,2021-11-23,pricing_proxy,0.75,2022-11-23,1,1,1,0,,0.8,pricing_proxy_listing_date;listing_date_confidence_below_0.8,,,,Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1892500,CMND,Clearmind Medicine Inc.,Nasdaq,Capital Market,common stock,2022-11-16,pricing_proxy,0.75,2023-11-16,1,1,1,0,,0.8,pricing_proxy_listing_date;listing_date_confidence_below_0.8,,,,Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1889823,DFSC,DEFSEC Technologies Inc.,Nasdaq,Capital Market,common stock,2022-12-08,pricing_proxy,0.75,2023-12-08,1,1,1,0,,0.8,pricing_proxy_listing_date;listing_date_confidence_below_0.8,,,,Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1945711,LVROF,Lavoro Ltd,Nasdaq,,ordinary shares,2023-02-03,pricing_proxy,0.75,2024-02-03,1,1,1,0,,0.8,pricing_proxy_listing_date;listing_date_confidence_below_0.8,,,,Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1951067,CISS,C3is Inc.,Nasdaq,Capital Market,common stock,2023-06-12,pricing_proxy,0.75,2024-06-12,1,1,1,0,,0.8,pricing_proxy_listing_date;listing_date_confidence_below_0.8,,,,Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1935418,FMST,Foremost Clean Energy Ltd.,Nasdaq,Capital Market,common stock,2023-08-23,pricing_proxy,0.75,2024-08-23,1,1,1,0,,0.8,pricing_proxy_listing_date;listing_date_confidence_below_0.8,,,,Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1955514,,RanMarine Technology B.V.,Nasdaq,Capital Market,ADS,2024-04-22,pricing_proxy,0.75,2025-04-22,1,1,0,0,,0.8,pricing_proxy_listing_date;listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1084267,MOBQ,"Mobiquity Technologies, Inc.",Nasdaq,Capital Market,common stock,2021-12-10,pricing_proxy,0.75,2022-12-10,1,1,1,0,,0.85,pricing_proxy_listing_date;listing_date_confidence_below_0.8,,,,Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1070050,APCX,AppTech Payments Corp.,Nasdaq,,common stock,2022-01-06,pricing_proxy,0.75,2023-01-06,1,1,1,0,,0.85,pricing_proxy_listing_date;listing_date_confidence_below_0.8,,,,Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
