cik,ticker,legal_name,nasdaq_listing_date,initial_matrix_due_date,date_basis,sic_description
1836470,SRAD,Sportradar Group AG,2021-09-14,2022-09-14,first_trading,"Services-Computer Programming, Data Processing, Etc."
1841675,ARBK,Argo Blockchain Plc,2021-09-23,2022-09-23,first_trading,Finance Services
1804469,GFAI,"Guardforce AI Co., Ltd.",2021-09-30,2022-09-30,pricing_proxy,"Services-Detective, Guard & Armored Car Services"
1829794,EMPD,Empery Digital Inc.,2021-10-06,2022-10-06,first_trading,Motor Vehicles & Passenger Car Bodies
1419554,BBLG,Bone Biologics Corp,2021-10-13,2022-10-13,first_trading,"Orthopedic, Prosthetic & Surgical Appliances & Supplies"
1840229,INKT,"MiNK Therapeutics, Inc.",2021-10-15,2022-10-15,first_trading,"Biological Products, (No Diagnostic Substances)"
1844392,MRAI,"Marpai, Inc.",2021-10-27,2022-10-27,first_trading,"Services-Misc Health & Allied Services, NEC"
1709048,GFS,GLOBALFOUNDRIES Inc.,2021-10-28,2022-10-28,first_trading,Semiconductors & Related Devices
1831283,LIANY,LianBio,2021-11-01,2022-11-01,first_trading,Pharmaceutical Preparations
1871149,,"Real Good Food Company, Inc.",2021-11-05,2022-11-05,first_trading,Food and Kindred Products
1840416,SSM,Sono Group N.V.,2021-11-17,2022-11-17,first_trading,Semiconductors & Related Devices
1769697,FNUC,Frontier Nuclear & Minerals Inc.,2021-11-19,2022-11-19,first_trading,Miscellaneous Metal Ores
1876581,IMPP,Imperial Petroleum Inc./Marshall Islands,2021-11-23,2022-11-23,pricing_proxy,Deep Sea Foreign Transportation of  Freight
1720671,,"HashiCorp, Inc.",2021-12-09,2022-12-09,first_trading,Services-Computer Programming Services
1838716,GNTA,Genenta Science S.p.A.,2021-12-15,2022-12-15,first_trading,"Biological Products, (No Diagnostic Substances)"
1868734,,"CinCor Pharma, Inc.",2022-01-07,2023-01-07,first_trading,Pharmaceutical Preparations
1861657,CNTN,"Canton Strategic Holdings, Inc.",2022-01-12,2023-01-12,first_trading,Pharmaceutical Preparations
1777319,CISO,"CISO Global, Inc.",2022-01-18,2023-01-18,pricing_proxy,Services-Management Consulting Services
1872964,MTEK,Maris Tech Ltd.,2022-02-02,2023-02-02,first_trading,"Communications Equipment, NEC"
1872812,,TC BioPharm (Holdings) plc,2022-02-11,2023-02-11,first_trading,"Biological Products, (No Diagnostic Substances)"
1851860,,"SMART FOR LIFE, INC.",2022-02-16,2023-02-16,first_trading,Medicinal Chemicals & Botanical Products
1402328,SBFM,Sunshine Biopharma Inc.,2022-02-17,2023-02-17,pricing_proxy,Pharmaceutical Preparations
1888014,AKAN,AKANDA CORP.,2022-03-15,2023-03-15,first_trading,Medicinal Chemicals & Botanical Products
1737995,STSS,"SkyAI, Inc.",2022-04-14,2023-04-14,first_trading,Surgical & Medical Instruments & Apparatus
1905511,JCSE,JE Cleantech Holdings Ltd,2022-04-22,2023-04-22,first_trading,Miscellaneous Manufacturing Industries
1849296,OKYO,OKYO Pharma Ltd,2022-05-17,2023-05-17,first_trading,"Biological Products, (No Diagnostic Substances)"
1468492,HSCS,HeartSciences Inc.,2022-06-15,2023-06-15,first_trading,"Orthopedic, Prosthetic & Surgical Appliances & Supplies"
1816319,LYTHF,Lytus Technologies Holdings PTV. Ltd.,2022-06-15,2023-06-15,first_trading,Services-Computer Processing & Data Preparation
1885827,VRAX,Virax Biolabs Group Ltd,2022-07-21,2023-07-21,first_trading,In Vitro & In Vivo Diagnostic Substances
1886362,MGAM,"Mobile Global Esports, Inc.",2022-07-29,2023-07-29,first_trading,Services-Amusement & Recreation Services
1913210,,Bruush Oral Care Inc.,2022-08-03,2023-08-03,first_trading,Dental Equipment & Supplies
1885408,NEXR,Nexera Technologies Ltd,2022-08-26,2023-08-26,first_trading,Retail-Miscellaneous Retail
1892480,,"Hempacco Co., Inc.",2022-08-30,2023-08-30,first_trading,Cigarettes
1807887,LASE,Laser Photonics Corp,2022-09-30,2023-09-30,first_trading,"Miscellaneous Electrical Machinery, Equipment & Supplies"
1884072,,Adamas One Corp.,2022-12-09,2023-12-09,first_trading,"Jewelry, Silverware & Plated Ware"
1939965,SLMT,Brera Holdings PLC,2023-01-27,2024-01-27,first_trading,Services-Amusement & Recreation Services
1865127,,"Lucy Scientific Discovery, Inc.",2023-02-09,2024-02-09,first_trading,Pharmaceutical Preparations
1611282,,"PishPosh, Inc.",2023-03-07,2024-03-07,pricing_proxy,Retail-Nonstore Retailers
1875496,,"YanGuFang International Group Co., Ltd",2023-03-28,2024-03-28,first_trading,Food and Kindred Products
1962481,BOF,BranchOut Food Inc.,2023-06-16,2024-06-16,first_trading,Food and Kindred Products
1891856,GENK,"GEN Restaurant Group, Inc.",2023-06-28,2024-06-28,first_trading,Retail-Eating  Places
1904286,MIRA,"MIRA PHARMACEUTICALS, INC.",2023-08-03,2024-08-03,first_trading,Pharmaceutical Preparations
1935418,FMST,Foremost Clean Energy Ltd.,2023-08-23,2024-08-23,pricing_proxy,Miscellaneous Metal Ores
1825367,,"RayzeBio, Inc.",2023-09-15,2024-09-15,first_trading,Pharmaceutical Preparations
1963439,TURB,"Turbo Energy, S.A.",2023-09-22,2024-09-22,first_trading,"Miscellaneous Electrical Machinery, Equipment & Supplies"
1907108,LXEO,"Lexeo Therapeutics, Inc.",2023-11-03,2024-11-03,first_trading,"Biological Products, (No Diagnostic Substances)"
1963685,RR,RICHTECH ROBOTICS INC.,2023-11-17,2024-11-17,first_trading,"General Industrial Machinery & Equipment, NEC"
