cik,ticker,legal_name,nasdaq_listing_date,initial_matrix_due_date,date_basis,listing_confidence,issuer_type,country,market_tier,sic_description
1605888,ATLN,"ATLANTIC INTERNATIONAL CORP.",2021-08-27,2022-08-27,first_trading,0.88,domestic,NJ,"Global Market","Services-Help Supply Services"
1836470,SRAD,"Sportradar Group AG",2021-09-14,2022-09-14,first_trading,0.94,foreign_private_issuer,V8,"Global Select","Services-Computer Programming, Data Processing, Etc."
1841675,ARBK,"Argo Blockchain Plc",2021-09-23,2022-09-23,first_trading,0.94,foreign_private_issuer,"United Kingdom","Capital Market","Finance Services"
1804469,GFAI,"Guardforce AI Co., Ltd.",2021-09-30,2022-09-30,pricing_proxy,0.75,foreign_private_issuer,U0,"Capital Market","Services-Detective, Guard & Armored Car Services"
1829794,EMPD,"Empery Digital Inc.",2021-10-06,2022-10-06,first_trading,0.88,domestic,TX,"Global Select","Motor Vehicles & Passenger Car Bodies"
1615055,,"IsoPlexis Corp",2021-10-08,2022-10-08,first_trading,0.88,domestic,CT,,"Laboratory Analytical Instruments"
1419554,BBLG,"Bone Biologics Corp",2021-10-13,2022-10-13,first_trading,0.94,domestic,MA,"Capital Market","Orthopedic, Prosthetic & Surgical Appliances & Supplies"
1840229,INKT,"MiNK Therapeutics, Inc.",2021-10-15,2022-10-15,first_trading,0.94,domestic,NY,"Capital Market","Biological Products, (No Diagnostic Substances)"
1856028,,"Stronghold Digital Mining, Inc.",2021-10-20,2022-10-20,first_trading,0.88,domestic,NY,,"Finance Services"
1653384,RWAY,"Runway Growth Finance Corp.",2021-10-21,2022-10-21,pricing_proxy,0.75,domestic,IL,"Global Select",""
1844392,MRAI,"Marpai, Inc.",2021-10-27,2022-10-27,first_trading,0.94,domestic,FL,,"Services-Misc Health & Allied Services, NEC"
1709048,GFS,"GLOBALFOUNDRIES Inc.",2021-10-28,2022-10-28,first_trading,0.94,foreign_private_issuer,NY,"Global Select","Semiconductors & Related Devices"
1870940,AIRS,"Airsculpt Technologies, Inc.",2021-10-29,2022-10-29,first_trading,0.94,domestic,FL,"Global Market","Services-Offices & Clinics of  Doctors of  Medicine"
1831283,LIANY,LianBio,2021-11-01,2022-11-01,first_trading,0.88,domestic,NJ,,"Pharmaceutical Preparations"
1392694,SURG,"SurgePays, Inc.",2021-11-03,2022-11-03,pricing_proxy,0.75,domestic,TN,"Capital Market","Telephone Communications (No Radiotelephone)"
1872529,MDXH,"MDxHealth SA",2021-11-04,2022-11-04,first_trading,0.94,foreign_private_issuer,C9,"Capital Market","Services-Medical Laboratories"
1871149,,"Real Good Food Company, Inc.",2021-11-05,2022-11-05,first_trading,0.88,domestic,NJ,,"Food and Kindred Products"
1718224,BTBD,"BT Brands, Inc.",2021-11-12,2022-11-12,first_trading,0.94,domestic,MN,"Capital Market","Retail-Eating  Places"
1840416,SSM,"Sono Group N.V.",2021-11-17,2022-11-17,first_trading,0.88,domestic,2M,"Capital Market","Semiconductors & Related Devices"
1815436,,"Advanced Health Intelligence Ltd",2021-11-19,2022-11-19,first_trading,0.88,foreign_private_issuer,C3,"Capital Market","Services-Prepackaged Software"
1769697,FNUC,"Frontier Nuclear & Minerals Inc.",2021-11-19,2022-11-19,first_trading,0.88,foreign_private_issuer,"Manitoba, Canada","Capital Market","Miscellaneous Metal Ores"
1876581,IMPP,"Imperial Petroleum Inc./Marshall Islands",2021-11-23,2022-11-23,pricing_proxy,0.75,foreign_private_issuer,Greece,"Capital Market","Deep Sea Foreign Transportation of  Freight"
1187953,CELZ,"CREATIVE MEDICAL TECHNOLOGY HOLDINGS, INC.",2021-12-06,2022-12-06,pricing_proxy,0.75,domestic,AZ,"Capital Market","Biological Products, (No Diagnostic Substances)"
1720671,,"HashiCorp, Inc.",2021-12-09,2022-12-09,first_trading,0.88,domestic,CA,,"Services-Computer Programming Services"
1875091,NRSN,"NeuroSense Therapeutics Ltd.",2021-12-09,2022-12-09,first_trading,0.94,foreign_private_issuer,L3,"Capital Market","Pharmaceutical Preparations"
1084267,MOBQ,"Mobiquity Technologies, Inc.",2021-12-10,2022-12-10,pricing_proxy,0.75,domestic,NY,"Capital Market",Services-Advertising
1838716,GNTA,"Genenta Science S.p.A.",2021-12-15,2022-12-15,first_trading,0.94,foreign_private_issuer,L6,"Capital Market","Biological Products, (No Diagnostic Substances)"
1873835,IMMX,"Immix Biopharma, Inc.",2021-12-16,2022-12-16,first_trading,0.94,domestic,CA,"Capital Market","Pharmaceutical Preparations"
1070050,APCX,"AppTech Payments Corp.",2022-01-06,2023-01-06,pricing_proxy,0.75,domestic,CA,,"Services-Prepackaged Software"
1658551,AMLX,"Amylyx Pharmaceuticals, Inc.",2022-01-07,2023-01-07,first_trading,0.94,domestic,MA,"Global Select","Pharmaceutical Preparations"
1868734,,"CinCor Pharma, Inc.",2022-01-07,2023-01-07,first_trading,0.88,domestic,MA,,"Pharmaceutical Preparations"
1874875,HOUR,"Hour Loop, Inc",2022-01-07,2023-01-07,first_trading,0.94,domestic,WA,"Capital Market","Retail-Catalog & Mail-Order Houses"
1861657,CNTN,"Canton Strategic Holdings, Inc.",2022-01-12,2023-01-12,first_trading,0.88,domestic,NJ,"Capital Market","Pharmaceutical Preparations"
1880661,TPG,"TPG Inc.",2022-01-13,2023-01-13,first_trading,0.94,domestic,TX,"Global Select","Investment Advice"
1777319,CISO,"CISO Global, Inc.",2022-01-18,2023-01-18,pricing_proxy,0.75,domestic,AZ,"Capital Market","Services-Management Consulting Services"
1864943,FGI,"FGI Industries Ltd.",2022-01-25,2023-01-25,first_trading,0.94,domestic,NJ,"Capital Market","Heating Equip, Except Elec & Warm Air; & Plumbing Fixtures"
1872964,MTEK,"Maris Tech Ltd.",2022-02-02,2023-02-02,first_trading,0.94,foreign_private_issuer,L3,"Capital Market","Communications Equipment, NEC"
1786205,ACLX,"Arcellx, Inc.",2022-02-04,2023-02-04,first_trading,0.94,domestic,CA,,"Biological Products, (No Diagnostic Substances)"
1875558,NVCT,"Nuvectis Pharma, Inc.",2022-02-04,2023-02-04,first_trading,0.94,domestic,NJ,"Capital Market","Pharmaceutical Preparations"
1648087,AREB,"AMERICAN REBEL HOLDINGS INC",2022-02-08,2023-02-08,pricing_proxy,0.75,domestic,TN,,"Miscellaneous Fabricated Metal Products"
1892322,HTCR,"HeartCore Enterprises, Inc.",2022-02-10,2023-02-10,first_trading,0.94,domestic,Japan,"Capital Market","Services-Computer Processing & Data Preparation"
1880613,DRCT,"Direct Digital Holdings, Inc.",2022-02-11,2023-02-11,first_trading,0.94,domestic,TX,"Capital Market",Services-Advertising
1872812,,"TC BioPharm (Holdings) plc",2022-02-11,2023-02-11,first_trading,0.88,domestic,X0,,"Biological Products, (No Diagnostic Substances)"
1482541,BNC,"CEA Industries Inc.",2022-02-14,2023-02-14,pricing_proxy,0.75,domestic,CO,"Capital Market","Agricultural Services"
1450704,VIVK,"Vivakor, Inc.",2022-02-15,2023-02-15,pricing_proxy,0.75,domestic,TX,"Capital Market","Refuse Systems"
1835615,MHUAF,"Meihua International Medical Technologies Co., Ltd.",2022-02-16,2023-02-16,first_trading,0.88,foreign_private_issuer,F4,"Global Market","Surgical & Medical Instruments & Apparatus"
1851860,,"SMART FOR LIFE, INC.",2022-02-16,2023-02-16,first_trading,0.88,domestic,FL,,"Medicinal Chemicals & Botanical Products"
1402328,SBFM,"Sunshine Biopharma Inc.",2022-02-17,2023-02-17,pricing_proxy,0.75,domestic,FL,"Capital Market","Pharmaceutical Preparations"
1888014,AKAN,"AKANDA CORP.",2022-03-15,2023-03-15,first_trading,0.94,foreign_private_issuer,X0,"Capital Market","Medicinal Chemicals & Botanical Products"
1880438,ANTX,"AN2 Therapeutics, Inc.",2022-03-25,2023-03-25,first_trading,0.94,domestic,CA,"Global Select","Pharmaceutical Preparations"
1894954,XPON,"Expion360 Inc.",2022-04-01,2023-04-01,first_trading,0.94,domestic,OR,"Capital Market","Miscellaneous Electrical Machinery, Equipment & Supplies"
