cik,ticker,legal_name,issuer_type,nasdaq_listing_date,initial_matrix_due_date,initial_matrix_publication_date,initial_matrix_source,continuation_status,continuation_date,continuation_source,continuation_source_url,continuation_form_type,continuation_confidence,matched_signal,evidence_excerpt,post_vacatur_candidate_filings,reviewed_post_vacatur_filings,fetch_failed_filings
1868941,FLNC,"Fluence Energy, Inc.",domestic,2021-10-28,2022-10-28,2022-01-28,0001140361-22-003004,continued_same_matrix,2025-01-24,0001868941-25-000007,https://www.sec.gov/Archives/edgar/data/1868941/000186894125000007/flnc-20250124.htm,DEF 14A,0.9,"\b(?:director|directors|board|nominee|nominees)\s+(?:diversity|demographics?)\s+matrix\b;\bgender identity\b;\bdemographic background\b;\bfemale\b.{0,80}\bmale\b","X X X X X X X X X X DisruptTech X X X X X X X Global Citizenship X X X X X X X X Operational Experience X X X X X X X X X X X Financial Expertise X X X X X X X X X X X X Corporate Governance X X X X X X X X X X X Board Experience X X X X X X X X X X Director Nominee Diversity Matrix The Board believes that diversity and inclusion are important considerations in board composition. In considering any potential director nominees, our Nominating and Corporate Governance Committee considers a number of factors including, but not limited to, personal and professional integrity, ethics and values; diversity of expertise and experience in substantive matters pertaining to the Company’s business relative to other board members; and diversity of background and perspective. The matrix below sets forth the self-identified gender identity and demographic diversity attributes of each of our Director Nominees. Please see “ Information About Director Nominees ” above, for biographical information on each of our Director Nominees. Total Number of Director Nominees 12 Female Male Part I: Gender Identity Director Nominees 4 8 Part II: Demographic Background African American or Black — 1 Asian — 1 Hispanic or Latinx 1 2 White 3 4 Boa",6,1,0
1865408,,Exscientia plc,foreign_private_issuer,2021-10-01,2022-10-01,2022-03-23,0001865408-22-000005,no_post_vacatur_relevant_filing,,,,,0.65,,,0,0,0
1689731,,"Southern States Bancshares, Inc.",domestic,2021-08-12,2022-08-12,2022-03-30,0001628280-22-007803,continued_other_narrative,2025-04-18,0001628280-25-018318,https://www.sec.gov/Archives/edgar/data/1689731/000162828025018318/ssbk-20241231.htm,10-K/A,0.75,\bdiversity of (?:our|the) board\b,"ector candidates, our board also considers the candidate’s independence, character, judgment, diversity, age, skills, including financial literacy, and experience in the context of our needs and those of our board. While we have no formal policy regarding the diversity of our board, our board may consider a broad range of factors relating to the qualifications and background of director nominees, which may include personal characteristics. Our board of director’s priority in selecting board members is the identification of persons who will further the interests of our stockholders through his or her record of professional and personal experiences and expertise relevant to our growth strategy. Director Independence Under the rules of NASDAQ, independent directors must comprise a majority of our board. The rules of NASDAQ, as well as those of the SEC, also impose several other requirements with respect to the independence of our directors. Our board has undertaken a review of the independence of each non-employee director based upon these rules and the charter of our Nominating and Corporate Governance Committee. App",2,2,0
1875444,ARHS,"Arhaus, Inc.",domestic,2021-11-04,2022-11-04,2022-04-04,0001193125-22-094328,continued_other_narrative,2025-04-10,0001193125-25-077328,https://www.sec.gov/Archives/edgar/data/1875444/000119312525077328/d791153ddef14a.htm,DEF 14A,0.75,\bboard diversity\b,"tees, regularly discusses with management our major risk exposures, their potential impact on the Company, and the steps we take to monitor and control such exposures. The Board’s role in the Company’s risk oversight has not affected our leadership structure. Board Diversity Of our total number of ten directors, we have two female directors. As further described below, when considering director candidates, our Nominating and Corporate Governance Committee considers diversifying factors they deem appropriate, including, among other things, age, skills, gender, ethnicity, areas of expertise, and other relevant factors. 9 Table of Contents BOARD COMMITTEES AND MEETINGS Our Board of Directors has an Audit Committee, a Compensation Committee, and a Nominating & Corporate Governance Committee, each of which operates under a charter that is posted on our website at https://ir.arhaus.com/corporate-governance/governance-overview. Our Board of Directors also has a Real Estate Committee and a Technology Committee. Directors who are members of these committees serve until their resignation or until as otherwise determin",4,4,0
1590418,FCUV,FOCUS UNIVERSAL INC.,domestic,2021-09-01,2022-09-01,2022-04-06,0001683168-22-002377,continued_same_matrix,2025-04-18,0001683168-25-002686,https://www.sec.gov/Archives/edgar/data/1590418/000168316825002686/focus_ipre14a-062025.htm,PRE 14A,0.95,Board of Directors Diversity Matrix;Directors Diversity Matrix;Did Not Disclose Gender;Did Not Disclose Demographic Background,"ating and Corporate Governance Committee. 13 The following chart provides certain self-identified characteristics of our nominees and current directors utilizing the categories and terms set forth in the applicable Nasdaq rules and related guidance. Board of Directors Diversity Matrix (as of April 18, 2025) Total Director Nominees and Continuing Directors 5 Female Male Non-Binary Did Not Disclose Gender Gender Identity Directors 1 4 – – Demographic Background African American or Black – – Alaskan Native or Native American – – Asian – 2 Hispanic, Latinx or Spanish Origin – – Native Hawaiian or Pacific Islander – – White 1 2 Other – – Two or More Races of Ethnicities – – LGBTQ+ – – Did not Disclose Demographic Background – – Vote Required and Recommendation of the Board Directors are elected by a plurality of the votes cast at the Annual Meeting. If a quorum is present, the nominees receiving the highest number of “FOR” votes will be elected to the Board. Shares represented by executed proxies will be voted for which no contrary instruction is given, if authority to do so is not withheld, “FOR” the election of each of the nominees nam",7,2,0
1649739,BAFN,BayFirst Financial Corp.,domestic,2021-11-12,2022-11-12,2022-04-07,0001649739-22-000137,continued_other_narrative,2025-04-04,0001649739-25-000110,https://www.sec.gov/Archives/edgar/data/1649739/000164973925000110/def14a-proxy2025.htm,DEF 14A,0.75,"\bdiversity\b.{0,220}\b(?:director|directors|nominee|nominees|board)\b","ility to serve as effective Board members and to determine whether they are independent in accordance with applicable SEC and Nasdaq rules (to ensure that, at all times, at least a majority of our directors are independent). Although we do not have a separate diversity policy, the Nominating Committee may consider the diversity of the Company’s directors and nominees in terms of knowledge, experience, skills, expertise, and other factors that may contribute to the effectiveness of our Board. 10 Our Nominating Committee has adopted a written charter, which sets forth the committee’s duties and responsibilities. This charter is available in the Investor Relations section of our website at www.bayfirstfinancial.com . Bank Directors The Board of Directors of the Bank is comprised of each Company director except for Mark S. Berset. Board Recommendation Our Board recommends that our shareholders vote “for” the nominees named above. PROPOSAL TWO ADJOURNMENT OF THE ANNUAL MEETING General The Board of Directors is asking for your approval to adjourn the Annual Meeting in the event that there are an insufficient number of votes to approve Proposal 1 at the Annual Meeting. In order to permit proxies to be voted",4,4,0
1657853,HTZ,"HERTZ GLOBAL HOLDINGS, INC",domestic,2021-11-09,2022-11-09,2022-04-08,0001140361-22-013707,not_continued_in_reviewed_filings,,,,,0.7,,,6,6,0
1789940,FWRG,"First Watch Restaurant Group, Inc.",domestic,2021-10-01,2022-10-01,2022-04-11,0001789940-22-000044,continued_other_narrative,2025-04-08,0001789940-25-000031,https://www.sec.gov/Archives/edgar/data/1789940/000178994025000031/fwrg-20250407.htm,DEF 14A,0.75,\bboard diversity\b,"Capital Management ○ ○ ○ ○ ○ ○ ● ○ ○ Legal ○ ○ ○ ○ Social & Environmental Responsibility ○ ○ ○ ○ ○ ● C-Suite/Executive Management ● ● ● ● ● ● ● ● ● 14 ● Integral element of career ○ Meaningful involvement during career, including directorships/certifications Board Diversity In addition to the broad diversity of experience and expertise reflected above, our Board consists of three female directors, seven male directors, and we have two self-identified directors from an underrepresented minority. Communications with the Company and the Board Stockholders may communicate with the Company through its Investor Relations Department by writing to: Investor Relations, First Watch Restaurant Group, Inc., 8725 Pendery Place, Ste. 201, Bradenton, FL 34201. Stockholders interested in communicating with our Board, any Board committee, any individual director, or any group of directors (such as our independent directors) should send written correspondence to First Watch Restaurant Group, Inc. Board of Directors, 8725 Pendery Place, Ste. 201, Bradenton, FL 34201, Attn: Secretary. At the direction of the Board, all mail re",6,6,0
1544522,FRSH,Freshworks Inc.,domestic,2021-09-22,2022-09-22,2022-04-11,0001544522-22-000005,continued_other_narrative,2025-04-17,0001544522-25-000015,https://www.sec.gov/Archives/edgar/data/1544522/000154452225000015/frsh-20250417.htm,DEF 14A,0.75,\bboard diversity\b,"in Public Policy from Brown University and an M.B.A. from Harvard Business School. We believe Ms. Taylor is qualified to serve as a member of our board of directors because of her product development expertise and strong experience in the technology industry. Board Diversity Our board of directors values diversity and believes that a board that collectively reflects a diversity of background, thought and experience enhances a board's effectiveness. To that end, we consider a broad range of backgrounds and experiences and the benefits of diverse viewpoints. Fifty percent (50%) of our board of directors (inclusive of the three director nominees) are diverse based on gender and/or race/ethnicity. (1)(2) (1) Director Diversity calculations are as of April 17, 2025. (2) Based on gender and racial/ethnic diversity of director nominees and incumbent directors. Independence of our Board of Directors Under the Nasdaq listing standards, a majority of the members of a listed company’s board of directors must satisfy the Nasdaq independence criteria. The Nasdaq listing standards also generally require that each member o",7,7,0
1861795,DH,Definitive Healthcare Corp.,domestic,2021-09-15,2022-09-15,2022-04-12,0001193125-22-102925,continued_other_narrative,2025-04-23,0000950170-25-057364,https://www.sec.gov/Archives/edgar/data/1861795/000095017025057364/dh-20250422.htm,DEF 14A,0.75,\bdiverse board\b,"ound judgment, leadership, courage, and diversity of experience (for example, in relation to finance and accounting, strategy, risk management, technical expertise, policymaking, etc.). In addition, the Company recognizes and embraces the benefits of having a diverse Board. In evaluating the Board’s composition, although the Board does not have a formal policy specifying how diversity of background and personal experience should be applied in identifying or evaluating director candidates, the Nominating and Corporate Governance Committee considers diversity among other relevant considerations, including, but not limited to, diversity of gender, age, race, ethnicity, cultural and educational background, professional experience, skills, knowledge, and length of service. The Nominating and Corporate Governance Committee values the input of stockholders in identifying director candidates. The Nominating and Corporate Governance Committee considers recommendations for Board candidates submitted by stockholders using the same criteria it applies to recommendations from the committee, directors, and members of ma",6,6,0
