cik,ticker,legal_name,issuer_type,nasdaq_listing_date,initial_matrix_due_date,initial_matrix_publication_date,initial_matrix_source,continuation_status,continuation_date,continuation_source,continuation_source_url,continuation_form_type,continuation_confidence,matched_signal,evidence_excerpt,post_vacatur_candidate_filings,reviewed_post_vacatur_filings,fetch_failed_filings
1689731,,"Southern States Bancshares, Inc.",,2021-08-12,2022-08-12,2022-03-30,0001628280-22-007803,continued_other_narrative,2025-04-18,0001628280-25-018318,https://www.sec.gov/Archives/edgar/data/1689731/000162828025018318/ssbk-20241231.htm,10-K/A,0.75,\bdiversity of (?:our|the) board\b,"ector candidates, our board also considers the candidate’s independence, character, judgment, diversity, age, skills, including financial literacy, and experience in the context of our needs and those of our board. While we have no formal policy regarding the diversity of our board, our board may consider a broad range of factors relating to the qualifications and background of director nominees, which may include personal characteristics. Our board of director’s priority in selecting board members is the identification of persons who will further the interests of our stockholders through his or her record of professional and personal experiences and expertise relevant to our growth strategy. Director Independence Under the rules of NASDAQ, independent directors must comprise a majority of our board. The rules of NASDAQ, as well as those of the SEC, also impose several other requirements with respect to the independence of our directors. Our board has undertaken a review of the independence of each non-employee director based upon these rules and the charter of our Nominating and Corporate Governance Committee. App",2,2,0
1853816,DRMA,"Dermata Therapeutics, Inc.",,2021-08-13,2022-08-13,2022-06-01,0001654954-22-007809,continued_other_narrative,2025-05-23,0001641172-25-012257,https://www.sec.gov/Archives/edgar/data/1853816/000164117225012257/pre14a.htm,PRE 14A,0.75,"\bdiversity\b.{0,220}\b(?:director|directors|nominee|nominees|board)\b","strong finance experience; relevant social policy concerns; experience relevant to the Company’s industry; experience as a board member of another publicly held company; relevant academic expertise or other proficiency in an area of the Company’s operations; diversity of expertise and experience in substantive matters pertaining to the Company’s business relative to other Board members; diversity of background and perspective, including, but not limited to, with respect to age, gender, race and ethnicity; practical and mature business judgment, including, but not limited to, the ability to make independent analytical inquiries; and any other relevant qualifications, attributes or skills In determining whether to recommend a director for re-election, the Nominating and Corporate Governance Committee may also consider the director’s past attendance at meetings and participation in and contributions to the activities of the Board. We do not have a formal policy with regard to the consideration of diversity in identifying director nominees. The Board evaluates each individual in the context of the Board as a whole, with the objective of assembling a group that can best perpetuate the success of the business and rep",8,8,0
1534154,AUID,authID Inc.,,2021-08-25,2022-08-25,2022-08-05,0001213900-22-044960,not_continued_in_reviewed_filings,,,,,0.7,,,3,3,0
1574094,RNXT,"RenovoRx, Inc.",,2021-08-26,2022-08-26,2022-04-29,0001493152-22-011553,continued_other_narrative,2025-04-30,0001641172-25-007884,https://www.sec.gov/Archives/edgar/data/1574094/000164117225007884/formdef14a.htm,DEF 14A,0.75,\bboard diversity\b,"ed excellence in his/her field; and ● nominees should have the ability to exercise sound business judgment and have the commitment to represent the long-term interests of our stockholders. Although our Board does not maintain a specific policy with respect to board diversity, it believes that our Board should be a diverse body, and our Nominating and Corporate Governance Committee may consider such factors as differences in professional background, education, skill, and other individual qualities and attributes that contribute to the total mix of viewpoints and experience represented on our Board. Process for Identifying and Evaluating Nominees Candidates for director may come to the attention of the Nominating and Corporate Governance Committee through current members of the Board, professional search firms, stockholders or industry sources. The Nominating and Corporate Governance Committee first evaluates director candidates by reviewing their biographical information and qualifications. Potentially qualified candidates will meet with our Chief Executive Officer and at least one member of the Nominating an",5,5,0
1605888,ATLN,ATLANTIC INTERNATIONAL CORP.,,2021-08-27,2022-08-27,2023-03-16,https://www.sec.gov/Archives/edgar/data/1605888/000121390023020621/f10k2022_seqllinc.htm,not_continued_in_reviewed_filings,,,,,0.7,,,7,7,0
1590418,FCUV,FOCUS UNIVERSAL INC.,,2021-09-01,2022-09-01,2022-04-06,0001683168-22-002377,continued_same_matrix,2025-04-18,0001683168-25-002686,https://www.sec.gov/Archives/edgar/data/1590418/000168316825002686/focus_ipre14a-062025.htm,PRE 14A,0.95,Board of Directors Diversity Matrix;Directors Diversity Matrix;Did Not Disclose Gender;Did Not Disclose Demographic Background,"ating and Corporate Governance Committee. 13 The following chart provides certain self-identified characteristics of our nominees and current directors utilizing the categories and terms set forth in the applicable Nasdaq rules and related guidance. Board of Directors Diversity Matrix (as of April 18, 2025) Total Director Nominees and Continuing Directors 5 Female Male Non-Binary Did Not Disclose Gender Gender Identity Directors 1 4 – – Demographic Background African American or Black – – Alaskan Native or Native American – – Asian – 2 Hispanic, Latinx or Spanish Origin – – Native Hawaiian or Pacific Islander – – White 1 2 Other – – Two or More Races of Ethnicities – – LGBTQ+ – – Did not Disclose Demographic Background – – Vote Required and Recommendation of the Board Directors are elected by a plurality of the votes cast at the Annual Meeting. If a quorum is present, the nominees receiving the highest number of “FOR” votes will be elected to the Board. Shares represented by executed proxies will be voted for which no contrary instruction is given, if authority to do so is not withheld, “FOR” the election of each of the nominees nam",7,2,0
1836470,SRAD,Sportradar Group AG,,2021-09-14,2022-09-14,,,not_continued_in_reviewed_filings,,,,,0.7,,,21,21,0
1588978,PRCT,PROCEPT BioRobotics Corp,,2021-09-15,2022-09-15,2022-04-28,0001628280-22-011112,continued_same_matrix,2025-04-25,0001588978-25-000028,https://www.sec.gov/Archives/edgar/data/1588978/000158897825000028/prct-20250425.htm,DEF 14A,0.85,Total Number of Directors;Did Not Disclose Gender;Did Not Disclose Demographic Background,"our corporate responsibility and ESG related programs, priorities, goals, and performance and we have published a report on these topics available on our website. Director Skills and Board Composition Board Composition Matrix (As of April 25, 2025) Total Number of Directors 9 Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 3 6 — — Part II: Demographic Background African American or Black — — — — Alaskan Native or Native American — — — — Asian — 1 — — Hispanic or Latinx 1 — — — Native Hawaiian or Pacific Islander — — — — White 2 5 — — Two or More Races or Ethnicities — — — — Did Not Disclose Demographic Background 1 INFORMATION REGARDING COMMITTEES OF THE BOARD OF DIRECTORS The Board has a number of committees that perform certain functions for the Board. The current standing committees of the Board are the Audit Committee, the Compensation Committee and the Nominating and ESG Committee. Below is a description of each committee of the Board. Each of the committees has authority to engage legal counsel or other experts or consultants, as it deems appropriate to carry out its responsibilities. 11 Audit",7,3,0
1645569,,"DICE Therapeutics, Inc.",,2021-09-15,2022-09-15,2022-04-26,0001564590-22-015687,no_post_vacatur_relevant_filing,,,,,0.65,,,0,0,0
1817004,NXXT,"NEXTNRG, INC.",,2021-09-15,2022-09-15,2022-04-25,0001493152-22-010860,continued_same_matrix,2024-12-31,0001493152-24-052756,https://www.sec.gov/Archives/edgar/data/1817004/000149315224052756/formdef14a.htm,DEF 14A,0.95,Board Diversity Matrix;Did Not Disclose Gender;Did Not Disclose Demographic Background,"mmittee Bennett Kurtz Chair Member Member Jack Leibler Member Chair Member Sean Oppen Member Member Chair The following matrices provide race/ethnicity, as well as gender, of the members of our Board, as self-identified by members of our Board. 2024 Board Diversity Matrix Female Male Non-Binary Did Not Disclose Gender Part I Gender Identity Directors - 5 - - Part II: Demographic Background African American or Black - - - - Alaskan Native or Native American - - - - Asian - - - - Hispanic or Latinx - - - - Native Hawaiian or Pacific Islander - - - - White - - - - Middle Eastern - - - - Scandinavian - - - - Two or More Races or Ethnicities - - - - LGBTQ+ - - - - Did Not Disclose Demographic Background - - - - 2023 Board Diversity Matrix Female Male Non-Binary Did Not Disclose Gender Part I Gender Identity Directors - 5 - - Part II: Demographic Background African American or Black - - - - Alaskan Native or Native American - - - - Asian - - - - Hispanic or Latinx - - - - Native Hawaiian or Pacific Islander - - - - White - - - - Middle Eastern - - - - Scandinavian - - - - Two or More Races or Ethnicities - - - - LGBTQ+ - - - - Did Not Dis",7,1,0
1841330,KTTA,Pasithea Therapeutics Corp.,,2021-09-15,2022-09-15,2022-05-13,0001213900-22-026293,continued_other_narrative,2025-07-14,0001213900-25-063716,https://www.sec.gov/Archives/edgar/data/1841330/000121390025063716/ea0248813-pre14a_pasithea.htm,PRE 14A,0.75,"\bdiversity\b.{0,220}\b(?:director|directors|nominee|nominees|board)\b","strong finance experience; relevant social policy concerns; experience relevant to our industry; experience as a board member or executive officer of another publicly held company; relevant academic expertise or other proficiency in an area of our operations; diversity of expertise and experience in substantive matters pertaining to our business relative to other board members; diversity of background and perspective, including, but not limited to, with respect to age, gender, race, place of residence and specialized experience; practical and mature business judgment, including, but not limited to, the ability to make independent analytical inquiries; and any other relevant qualifications, attributes or skills. We evaluate each individual in the context of the Board as a whole, with the objective of assembling a group that can best perpetuate the success of the business and represent stockholder interests through the exercise of sound judgment using its diversity of experience in these various areas. In determining whether to recommend a director for re-election, the Nominating and Corporate Governance Committee may also consider the director’s past attendance at meetings and participation in and contr",6,6,0
1861795,DH,Definitive Healthcare Corp.,,2021-09-15,2022-09-15,2022-04-12,0001193125-22-102925,continued_other_narrative,2025-04-23,0000950170-25-057364,https://www.sec.gov/Archives/edgar/data/1861795/000095017025057364/dh-20250422.htm,DEF 14A,0.75,\bdiverse board\b,"ound judgment, leadership, courage, and diversity of experience (for example, in relation to finance and accounting, strategy, risk management, technical expertise, policymaking, etc.). In addition, the Company recognizes and embraces the benefits of having a diverse Board. In evaluating the Board’s composition, although the Board does not have a formal policy specifying how diversity of background and personal experience should be applied in identifying or evaluating director candidates, the Nominating and Corporate Governance Committee considers diversity among other relevant considerations, including, but not limited to, diversity of gender, age, race, ethnicity, cultural and educational background, professional experience, skills, knowledge, and length of service. The Nominating and Corporate Governance Committee values the input of stockholders in identifying director candidates. The Nominating and Corporate Governance Committee considers recommendations for Board candidates submitted by stockholders using the same criteria it applies to recommendations from the committee, directors, and members of ma",6,6,0
1863127,TYRA,"Tyra Biosciences, Inc.",,2021-09-15,2022-09-15,2022-04-28,0001193125-22-127537,not_continued_in_reviewed_filings,,,,,0.7,,,6,6,0
1866550,,"Thoughtworks Holding, Inc.",,2021-09-15,2022-09-15,2022-04-29,0001140361-22-016768,no_post_vacatur_relevant_filing,,,,,0.65,,,0,0,0
1544522,FRSH,Freshworks Inc.,,2021-09-22,2022-09-22,2022-04-11,0001544522-22-000005,continued_other_narrative,2025-04-17,0001544522-25-000015,https://www.sec.gov/Archives/edgar/data/1544522/000154452225000015/frsh-20250417.htm,DEF 14A,0.75,\bboard diversity\b,"in Public Policy from Brown University and an M.B.A. from Harvard Business School. We believe Ms. Taylor is qualified to serve as a member of our board of directors because of her product development expertise and strong experience in the technology industry. Board Diversity Our board of directors values diversity and believes that a board that collectively reflects a diversity of background, thought and experience enhances a board's effectiveness. To that end, we consider a broad range of backgrounds and experiences and the benefits of diverse viewpoints. Fifty percent (50%) of our board of directors (inclusive of the three director nominees) are diverse based on gender and/or race/ethnicity. (1)(2) (1) Director Diversity calculations are as of April 17, 2025. (2) Based on gender and racial/ethnic diversity of director nominees and incumbent directors. Independence of our Board of Directors Under the Nasdaq listing standards, a majority of the members of a listed company’s board of directors must satisfy the Nasdaq independence criteria. The Nasdaq listing standards also generally require that each member o",7,7,0
1645070,,Sterling Check Corp.,,2021-09-23,2022-09-23,2022-04-29,0001140361-22-016924,no_post_vacatur_relevant_filing,,,,,0.65,,,0,0,0
1782170,RELY,"Remitly Global, Inc.",,2021-09-23,2022-09-23,2022-04-19,0001782170-22-000068,not_continued_in_reviewed_filings,,,,,0.7,,,6,6,0
1841675,ARBK,Argo Blockchain Plc,,2021-09-23,2022-09-23,,,continued_other_narrative,2025-05-09,0001654954-25-005344,https://www.sec.gov/Archives/edgar/data/1841675/000165495425005344/a9889h.htm,6-K,0.75,"\bdiversity\b.{0,220}\b(?:director|directors|nominee|nominees|board)\b","all relevant interests and perspectives are considered and addressed in the decision making process. A significant part of any business is maintaining a good relationship with its suppliers, and the Group maintains strong relationships with its key suppliers. Diversity Policy Given the Company’s current stage of development, its organizational structure and limited headcount, the Board considers that a formal diversity policy would not be practicable for the Company to develop and implement and would not improve the Group’s policies or processes in a meaningful manner. The Company and the Board already integrate equality and diversity in all aspects of the Company’s business and all decisions are made on merit and without regard to protected characteristics. Where appropriate and practicable for the Company, the Company considers and implements positive actions to enable the Company to provide additional support. This can include, for example, making adjustments to assist staff and ensuring that, to the extent possible, all relevant perspectives are included in decision making on an ongoing basis. The Company will keep the requirement for a formal diversity policy under review and will give serious consideration to the",54,40,0
1844280,,"Thorne Healthtech, Inc.",,2021-09-23,2022-09-23,2022-04-22,0001193125-22-115188,no_post_vacatur_relevant_filing,,,,,0.65,,,0,0,0
1856608,,"Sovos Brands, Inc.",,2021-09-23,2022-09-23,2022-04-25,0001558370-22-005891,no_post_vacatur_relevant_filing,,,,,0.65,,,0,0,0
1866757,BRLT,"Brilliant Earth Group, Inc.",,2021-09-23,2022-09-23,2022-04-26,0001866757-22-000077,continued_other_narrative,2025-03-13,0001866757-25-000038,https://www.sec.gov/Archives/edgar/data/1866757/000186675725000038/brlt-20241231.htm,10-K,0.75,"\bdiversity\b.{0,220}\b(?:director|directors|nominee|nominees|board)\b","anies on ESG topics. Topics taken into account in such assessments include, among others, the company’s efforts and impacts, including impacts associated with our suppliers or other partners, on climate change and human rights, ethics and compliance with law, diversity, and the role of the Board in supervising various ESG issues. In light of investors’ increased focus on ESG matters, there can be no certainty that we will manage such issues successfully, or that we will successfully meet society’s expectations as to our proper role or our own ESG goals and values, including in respect of our diamond sourcing standards. This could lead to risk of litigation or reputational damage relating to our ESG policies or performance. As we continue to focus on developing ESG practices, and as investor and other stakeholder expectations, voluntary and regulatory ESG disclosure standards and policies continue to evolve, we have made disclosures in these areas. Such disclosures may reflect aspirational goals, targets, and other expectations and assumptions, which are necessarily uncertain and may not be realized. Standards for tracking and re",7,7,0
1628945,,Cue Health Inc.,,2021-09-24,2022-09-24,2022-08-09,0001628945-22-000096,no_post_vacatur_relevant_filing,,,,,0.65,,,0,0,0
1866692,AMPL,"Amplitude, Inc.",,2021-09-28,2022-09-28,2022-04-25,0001193125-22-117799,not_continued_in_reviewed_filings,,,,,0.7,,,6,6,0
1804469,GFAI,"Guardforce AI Co., Ltd.",,2021-09-30,2022-09-30,,,not_continued_in_reviewed_filings,,,,,0.7,,,16,16,0
1868726,OLPX,"OLAPLEX HOLDINGS, INC.",,2021-09-30,2022-09-30,2022-04-19,0001868726-22-000019,continued_same_matrix,2025-04-23,0001868726-25-000048,https://www.sec.gov/Archives/edgar/data/1868726/000186872625000048/olpx-20250423.htm,DEF 14A,0.85,Total Number of Directors;Did Not Disclose Gender,"Board considers the qualifications of directors and director candidates individually and in the broader context of its overall diversity and composition and the Company's current and future needs. 26 Board Demographics Matrix (as of April 23, 2025) Total Number of Directors 11 Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 8 3 - - Part II: Demographic Background African American or Black 2 - - - Alaskan Native or Native American - - - - Asian - - - - Hispanic or Latinx - - - - Native Hawaiian or Pacific Islander - - - - White 6 3 - - Two or More Races or Ethnicities - - - - LGBTQ+ - Demographic Background Undisclosed - Board and Committee Annual Performance Reviews Our Corporate Governance Guidelines provide that the Nominating and Corporate Governance Committee is responsible for reporting annually to the Board an evaluation of the overall performance of the Board. In addition, the written charters of each of the Audit Committee, Compensation Committee and Nominating and Corporate Governance Committee provide that each such committee shall evaluate its performance as well as its role and responsib",7,2,0
