cik,ticker,legal_name,nasdaq_listing_date,initial_matrix_due_date,company_urls,snapshots_checked,status,found_window,found_url,found_date,found_confidence,found_matched_query,found_excerpt
1605888,ATLN,ATLANTIC INTERNATIONAL CORP.,2021-08-27,2022-08-27,https://seqll.com;https://lyneer.com,6,not_found,,,,0.0,,
1836470,SRAD,Sportradar Group AG,2021-09-14,2022-09-14,https://investors.sportradar.com;https://sportradar.com,10,not_found,,,,0.0,,
1841675,ARBK,Argo Blockchain Plc,2021-09-23,2022-09-23,https://argoblockchain.com;https://primarybid.com,12,not_found,,,,0.0,,
1804469,GFAI,"Guardforce AI Co., Ltd.",2021-09-30,2022-09-30,https://guardforceai.com;https://mordorintelligence.com,2,not_found,,,,0.0,,
1829794,EMPD,Empery Digital Inc.,2021-10-06,2022-10-06,https://ir.volcon.com;https://volcon.com,0,not_found,,,,0.0,,
1615055,,IsoPlexis Corp,2021-10-08,2022-10-08,https://investors.isoplexis.com;https://isoplexis.com,0,not_found,,,,0.0,,
1419554,BBLG,Bone Biologics Corp,2021-10-13,2022-10-13,https://bonebiologics.com,0,not_found,,,,0.0,,
1840229,INKT,"MiNK Therapeutics, Inc.",2021-10-15,2022-10-15,https://investor.minktherapeutics.com;https://minktherapeutics.com,0,not_found,,,,0.0,,
1856028,,"Stronghold Digital Mining, Inc.",2021-10-20,2022-10-20,https://ir.strongholddigitalmining.com;https://strongholddigitalmining.com,2,not_found,,,,0.0,,
1653384,RWAY,Runway Growth Finance Corp.,2021-10-21,2022-10-21,https://investors.runwaygrowth.com;https://runwaygrowth.com,1,not_found,,,,0.0,,
1844392,MRAI,"Marpai, Inc.",2021-10-27,2022-10-27,https://ir.marpaihealth.com;https://marpaihealth.com,1,found,on_time,https://web.archive.org/web/20221027/https://ir.marpaihealth.com/governance,2022-10-27,0.65,Board Diversity Matrix,ts Stock Information Stock Quote & Chart Historical Data Analyst Coverage Financial Information SEC Filings Annual Reports Quarterly Results Governance & Management Board of Directors Management Sales Leadership Board Committees Governance Documents Board Diversity Matrix Resources Contacts FAQs Contact marpai_o7o58m 2024-01-17T14:52:59-04:00 404 Page Not Found The page you are trying to access ca
1709048,GFS,GLOBALFOUNDRIES Inc.,2021-10-28,2022-10-28,https://investors.gf.com;https://gf.com,6,not_found,,,,0.0,,
1870940,AIRS,"Airsculpt Technologies, Inc.",2021-10-29,2022-10-29,https://airsculpt.elitebodysculpture.com;https://investors.elitebodysculpture.com,5,not_found,,,,0.0,,
1831283,LIANY,LianBio,2021-11-01,2022-11-01,https://lianbiopharma.com;https://lianbio.com,2,not_found,,,,0.0,,
1392694,SURG,"SurgePays, Inc.",2021-11-03,2022-11-03,https://surgepays.com;https://surgeholdings.com,2,not_found,,,,0.0,,
1872529,MDXH,MDxHealth SA,2021-11-04,2022-11-04,https://mdxhealth.com,3,not_found,,,,0.0,,
1871149,,"Real Good Food Company, Inc.",2021-11-05,2022-11-05,https://investors.realgoodfoods.com;https://realgoodfoods.com,1,not_found,,,,0.0,,
1718224,BTBD,"BT Brands, Inc.",2021-11-12,2022-11-12,https://btbrands.com;https://brand.bt.com,2,not_found,,,,0.0,,
1840416,SSM,Sono Group N.V.,2021-11-17,2022-11-17,https://ir.sonomotors.com;https://sonomotors.com,7,not_found,,,,0.0,,
1815436,,Advanced Health Intelligence Ltd,2021-11-19,2022-11-19,,0,no_company_url,,,,0,,
1769697,FNUC,Frontier Nuclear & Minerals Inc.,2021-11-19,2022-11-19,https://snowlakelithium.com;https://nrcan.gc.ca,12,not_found,,,,0.0,,
1876581,IMPP,Imperial Petroleum Inc./Marshall Islands,2021-11-23,2022-11-23,https://imperialpetro.com;https://impp.com,12,not_found,,,,0.0,,
1187953,CELZ,"CREATIVE MEDICAL TECHNOLOGY HOLDINGS, INC.",2021-12-06,2022-12-06,https://creativemedicaltechnology.com;https://jolleymarketing.com,1,found,on_time,https://web.archive.org/web/20221206/https://creativemedicaltechnology.com,2022-12-06,0.85,Board Diversity Matrix,sperm lacks where can i buy 2.5 mg levitra Skip to content Main Menu Who We Are Menu Toggle Mission & Values Intellectual Property Management Team Board of Directors Scientific Advisory Board Our Pipeline Media Careers Contact Investors Menu Toggle Board Diversity Matrix StemSpine® Peer Reviewed Publication on 2 Year Pilot Study Results Go to publication WHO WE ARE Mission & Approach Intellectual 
1720671,,"HashiCorp, Inc.",2021-12-09,2022-12-09,https://ir.hashicorp.com;https://hashicorp.com,6,not_found,,,,0.0,,
1875091,NRSN,NeuroSense Therapeutics Ltd.,2021-12-09,2022-12-09,https://neurosense.investorroom.com;https://neurosensetx.com,2,found,on_time,https://web.archive.org/web/20230108/https://neurosense.investorroom.com,2023-01-08,0.65,Board Diversity Matrix,"Business Update NeuroSense Therapeutics Ltd. (Nasdaq: NRSN) (""NeuroSense""), a company developing treatments for severe neurodegenerative diseases, announced today that its annual report on Form 20-F, containing... Investor Presentation Download PDF Board Diversity Matrix Download PDF 09-799-6183 info@neurosense-tx.com One Broadway, Broadway, Cambridge, MA, USA Ha-Menofim 11, Herzliya, Israel Home "
1084267,MOBQ,"Mobiquity Technologies, Inc.",2021-12-10,2022-12-10,https://mobiquity.com,1,not_found,,,,0.0,,
1838716,GNTA,Genenta Science S.p.A.,2021-12-15,2022-12-15,https://genenta.com;https://clinicaltrials.gov,8,not_found,,,,0.0,,
1873835,IMMX,"Immix Biopharma, Inc.",2021-12-16,2022-12-16,https://immixbio.com;https://pstvote.com,7,not_found,,,,0.0,,
1070050,APCX,AppTech Payments Corp.,2022-01-06,2023-01-06,https://apptechcorp.com;https://apptech.com,12,not_found,,,,0.0,,
1658551,AMLX,"Amylyx Pharmaceuticals, Inc.",2022-01-07,2023-01-07,https://investors.amylyx.com;https://amylyx.com,1,not_found,,,,0.0,,
1868734,,"CinCor Pharma, Inc.",2022-01-07,2023-01-07,https://cincor.com,0,not_found,,,,0.0,,
1874875,HOUR,"Hour Loop, Inc",2022-01-07,2023-01-07,https://hourloop.com;https://persalary.com,0,not_found,,,,0.0,,
1861657,CNTN,"Canton Strategic Holdings, Inc.",2022-01-12,2023-01-12,https://annualgeneralmeetings.com;https://hillstreambio.com,0,not_found,,,,0.0,,
1880661,TPG,TPG Inc.,2022-01-13,2023-01-13,https://tpg.com,2,not_found,,,,0.0,,
1777319,CISO,"CISO Global, Inc.",2022-01-18,2023-01-18,https://cerberussentinel.com;https://cerberuscybersentinelcorporation.com,12,not_found,,,,0.0,,
1864943,FGI,FGI Industries Ltd.,2022-01-25,2023-01-25,https://fgi-industries.com,2,not_found,,,,0.0,,
1872964,MTEK,Maris Tech Ltd.,2022-02-02,2023-02-02,https://maristech.com;https://maris-tech.com,0,not_found,,,,0.0,,
1786205,ACLX,"Arcellx, Inc.",2022-02-04,2023-02-04,https://arcellx.com;https://arc.com,0,not_found,,,,0.0,,
1875558,NVCT,"Nuvectis Pharma, Inc.",2022-02-04,2023-02-04,https://nuvectis.com;https://pwc.com,0,not_found,,,,0.0,,
1648087,AREB,AMERICAN REBEL HOLDINGS INC,2022-02-08,2023-02-08,https://americanrebel.com;https://cscp.com,7,not_found,,,,0.0,,
1892322,HTCR,"HeartCore Enterprises, Inc.",2022-02-10,2023-02-10,https://heartcore-enterprises.com;https://heartcore.co.jp,6,not_found,,,,0.0,,
1880613,DRCT,"Direct Digital Holdings, Inc.",2022-02-11,2023-02-11,https://ir.directdigitalholdings.com;https://directdigitalholdings.com,0,not_found,,,,0.0,,
1872812,,TC BioPharm (Holdings) plc,2022-02-11,2023-02-11,https://ir.tcbiopharm.com;https://tcbiopharm.com,0,not_found,,,,0.0,,
1482541,BNC,CEA Industries Inc.,2022-02-14,2023-02-14,https://ceaindustries.com;https://ceaindustrialsupply.com,0,not_found,,,,0.0,,
1450704,VIVK,"Vivakor, Inc.",2022-02-15,2023-02-15,https://vivakor.com,5,not_found,,,,0.0,,
1835615,MHUAF,"Meihua International Medical Technologies Co., Ltd.",2022-02-16,2023-02-16,https://ir.meihuamed.com;https://meihua.com,0,not_found,,,,0.0,,
1851860,,"SMART FOR LIFE, INC.",2022-02-16,2023-02-16,https://smartforlife.com;https://smartforlifecorp.com,0,not_found,,,,0.0,,
1402328,SBFM,Sunshine Biopharma Inc.,2022-02-17,2023-02-17,https://sunshinebiopharma.com,2,not_found,,,,0.0,,
1888014,AKAN,AKANDA CORP.,2022-03-15,2023-03-15,https://akancorp.com;https://akandacorp.com,5,not_found,,,,0.0,,
1880438,ANTX,"AN2 Therapeutics, Inc.",2022-03-25,2023-03-25,https://investor.an2therapeutics.com;https://an2therapeutics.com,0,not_found,,,,0.0,,
1894954,XPON,Expion360 Inc.,2022-04-01,2023-04-01,https://investors.expion360.com;https://expion360.com,0,not_found,,,,0.0,,
1737995,STSS,"SkyAI, Inc.",2022-04-14,2023-04-14,https://ir.stss.com;https://sharpstechnology.com,6,not_found,,,,0.0,,
1635077,ACON,"Aclarion, Inc.",2022-04-22,2023-04-22,https://aclarion.com;https://vstocktransfer.com,6,not_found,,,,0.0,,
1905511,JCSE,JE Cleantech Holdings Ltd,2022-04-22,2023-04-22,https://jecleantech.com.sg;https://jecleantech.sg,3,not_found,,,,0.0,,
1560293,TNON,"Tenon Medical, Inc.",2022-04-27,2023-04-27,https://tenonmed.com;https://tenonmed.com. the,4,not_found,,,,0.0,,
1141284,ASNS,ACTELIS NETWORKS INC,2022-05-13,2023-05-13,https://actelis.com;https://actelisnetwors.com,14,not_found,,,,0.0,,
1886799,,Bright Green Corp,2022-05-17,2023-05-17,https://brightgreen.us;https://virtualmeetingportal.com,12,not_found,,,,0.0,,
1849296,OKYO,OKYO Pharma Ltd,2022-05-17,2023-05-17,https://okyopharma.com;https://adr.com,4,not_found,,,,0.0,,
1892274,GV,Visionary Holdings Inc.,2022-05-17,2023-05-17,https://visiongroupca.com;https://canada.ca,0,not_found,,,,0.0,,
923601,RIME,"Algorhythm Holdings, Inc.",2022-05-25,2023-05-25,https://singingmachine.com,1,not_found,,,,0.0,,
1879848,PEVM,PHOENIX MOTOR INC.,2022-06-08,2023-06-08,https://phoenixmotors.com;https://phoenixmotorcars.com,7,not_found,,,,0.0,,
1468492,HSCS,HeartSciences Inc.,2022-06-15,2023-06-15,https://heartsciences.com,3,not_found,,,,0.0,,
1816319,LYTHF,Lytus Technologies Holdings PTV. Ltd.,2022-06-15,2023-06-15,https://lytuscorp.com;https://lyt.com,0,not_found,,,,0.0,,
1674440,YYAI,AIRWA INC.,2022-06-16,2023-06-16,https://connexasports.com;https://slingerbag.com,0,not_found,,,,0.0,,
1826376,GSUN,Golden Sun Technology Group Ltd.,2022-06-22,2023-06-22,https://goldensunedugrpltd.com;https://ir.jtyjyjt.com,0,not_found,,,,0.0,,
1872302,NA,Nano Labs Ltd,2022-07-12,2023-07-12,https://ir.nano.cn;https://nano.cn,1,found,late,https://web.archive.org/web/20231010/https://ir.nano.cn,2023-10-10,0.65,Board Diversity Matrix,Investor Relations | Nano Labs Ltd. Skip to main navigation Skip to Content HOME CORPORATE INFORMATION Company Profile Management Team Board of Directors CORPORATE GOVERNANCE Committee Composition Board Diversity Matrix Governance Documents Committee Charters NEWS & EVENTS Press Releases Event Calendar STOCK INFORMATION Stock Quote & Chart Historical Price Lookup Investment Calculator FINANCIALS &
1885827,VRAX,Virax Biolabs Group Ltd,2022-07-21,2023-07-21,https://viraxbiolabs.com;https://canfite.com,10,not_found,,,,0.0,,
1886362,MGAM,"Mobile Global Esports, Inc.",2022-07-29,2023-07-29,https://mogoesports.com,3,not_found,,,,0.0,,
1748137,NEOV,NeoVolta Inc.,2022-07-29,2023-07-29,https://neovolta.com,4,found,on_time,https://web.archive.org/web/20230729/https://neovolta.com/investors,2023-07-29,0.65,Board Diversity Matrix,"ruary 10, 2023 10-Q: November 10, 2022 10-Q: October, 2022 S-8: October 11, 2022 10-K/A: September 27, 2022 Governance Audit Committee Charter Compensation Committee Charter Code of Business Conduct & Ethics Governance & Nominating Committee Charter Board Diversity Matrix IR Contacts Auditor Malone Bailey LLP Legal Counsel Schiff Hardin LLP Investor Relations [email protected] Transfer Agent Conti"
1913210,,Bruush Oral Care Inc.,2022-08-03,2023-08-03,https://bruush.com,3,not_found,,,,0.0,,
1881472,MEGL,Magic Empire Global Ltd,2022-08-05,2023-08-05,https://magicempiregloballtd.com;https://meglmagic.com,0,not_found,,,,0.0,,
1425355,SUIG,SUI Group Holdings Ltd.,2022-08-09,2023-08-09,https://millcityventures3.com;https://pacificstocktransfer.com,0,not_found,,,,0.0,,
1014763,AIMD,"Ainos, Inc.",2022-08-10,2023-08-10,https://ainos.com;https://aimd.com,0,not_found,,,,0.0,,
1905956,TGL,TREASURE GLOBAL INC,2022-08-11,2023-08-11,https://treasureglobalinc.com;https://treasureglobal.co,0,not_found,,,,0.0,,
1885408,NEXR,Nexera Technologies Ltd,2022-08-26,2023-08-26,https://jeffsbrands.com,6,not_found,,,,0.0,,
1892480,,"Hempacco Co., Inc.",2022-08-30,2023-08-30,https://hempaccoinc.com;https://hemp.com,12,not_found,,,,0.0,,
1650101,ATXG,ADDENTAX GROUP CORP.,2022-09-01,2023-09-01,https://addentax.com;https://addentaxgroupcorp.com,18,not_found,,,,0.0,,
1712762,BIAF,"bioAffinity Technologies, Inc.",2022-09-01,2023-09-01,https://bioaffinitytech.com;https://viewproxy.com,6,not_found,,,,0.0,,
1898604,VSTD,Vestand Inc.,2022-09-09,2023-09-09,https://ir.yoshiharuramen.com;https://yoshiharuramen.com,6,not_found,,,,0.0,,
1887673,WLDS,Wearable Devices Ltd.,2022-09-13,2023-09-13,https://wearabledevices.co;https://wearabledevices.co.il,6,not_found,,,,0.0,,
1807887,LASE,Laser Photonics Corp,2022-09-30,2023-09-30,https://laserphotonics.com;https://laser.com,12,not_found,,,,0.0,,
1921865,ASPI,ASP Isotopes Inc.,2022-11-10,2023-11-10,https://investors.aspisotopes.com;https://aspi.com,0,not_found,,,,0.0,,
1892500,CMND,Clearmind Medicine Inc.,2022-11-16,2023-11-16,https://clearmindmedicineinc.com;https://clearmind.com,0,not_found,,,,0.0,,
1884072,,Adamas One Corp.,2022-12-09,2023-12-09,https://adamasone.com,0,not_found,,,,0.0,,
1902794,,MGO Global Inc.,2023-01-13,2024-01-13,https://mgol.com;https://mgoglobalinc.com,1,not_found,,,,0.0,,
