bucket,confidence,cik,ticker,legal_name,nasdaq_listing_date,initial_matrix_due_date,due_plus_30_grace,initial_matrix_status,initial_matrix_publication_date,initial_matrix_source,current_review_status,current_evidence_url,current_evidence_type,current_evidence_excerpt,committed_current_sec_status,committed_current_sec_found_date,committed_current_sec_found_url,committed_wayback_status,committed_wayback_found_date,committed_wayback_found_url,committed_fts_status,review_reason,review_notes
released_in_required_window,high,1689731,,"Southern States Bancshares, Inc.",2021-08-12,2022-08-12,2022-09-11,published_on_time,2022-03-30,0001628280-22-007803,,0001628280-22-007803,,0001628280-22-007803,,,,,,,,Published matrix date is on/before due+30 grace.,
released_in_required_window,high,1853816,DRMA,"Dermata Therapeutics, Inc.",2021-08-13,2022-08-13,2022-09-12,published_on_time,2022-06-01,0001654954-22-007809,,0001654954-22-007809,,0001654954-22-007809,,,,,,,,Published matrix date is on/before due+30 grace.,
released_in_required_window,high,1534154,AUID,authID Inc.,2021-08-25,2022-08-25,2022-09-24,published_on_time,2022-08-05,0001213900-22-044960,,0001213900-22-044960,,0001213900-22-044960,,,,,,,,Published matrix date is on/before due+30 grace.,
released_in_required_window,high,1574094,RNXT,"RenovoRx, Inc.",2021-08-26,2022-08-26,2022-09-25,published_on_time,2022-04-29,0001493152-22-011553,,0001493152-22-011553,,0001493152-22-011553,,,,,,,,Published matrix date is on/before due+30 grace.,
released_after_required_window,high,1605888,ATLN,ATLANTIC INTERNATIONAL CORP.,2021-08-27,2022-08-27,2022-09-26,published_late,2023-03-16,https://www.sec.gov/Archives/edgar/data/1605888/000121390023020621/f10k2022_seqllinc.htm,found_late_sec_search_browser_confirmed,https://www.sec.gov/Archives/edgar/data/1605888/000121390023020621/f10k2022_seqllinc.htm,edgar_filing,"Board Diversity Matrix (As of March 7, 2023). Total Number of Directors 4. Directors Female 1, Male 2, Did Not Disclose Gender 1.",not_found_in_current_sec_filings,,,not_found,,,not_found,Published matrix date is after due+30 grace.,Search found 2024 SEC matrix and Browser confirmed substantive matrix; targeted reclassification selected earlier existing 2023 10-K matrix observation.
released_in_required_window,high,1590418,FCUV,FOCUS UNIVERSAL INC.,2021-09-01,2022-09-01,2022-10-01,published_on_time,2022-04-06,0001683168-22-002377,,0001683168-22-002377,,0001683168-22-002377,,,,,,,,Published matrix date is on/before due+30 grace.,
no_release_found_after_checks,medium,1836470,SRAD,Sportradar Group AG,2021-09-14,2022-09-14,2022-10-14,not_located,,,searched_no_substantive_matrix,,,,not_found_in_current_sec_filings,,,not_found,,,not_found,"No substantive primary matrix located after SEC, committed-check FTS/Wayback, website candidates, and manual/browser review where applicable.","Web search for exact company name plus Board Diversity Matrix returned third-party/other-company references, not Sportradar own matrix."
released_in_required_window,high,1588978,PRCT,PROCEPT BioRobotics Corp,2021-09-15,2022-09-15,2022-10-15,published_on_time,2022-04-28,0001628280-22-011112,,0001628280-22-011112,,0001628280-22-011112,,,,,,,,Published matrix date is on/before due+30 grace.,
released_in_required_window,high,1645569,,"DICE Therapeutics, Inc.",2021-09-15,2022-09-15,2022-10-15,published_on_time,2022-04-26,0001564590-22-015687,,0001564590-22-015687,,0001564590-22-015687,,,,,,,,Published matrix date is on/before due+30 grace.,
released_in_required_window,high,1817004,NXXT,"NEXTNRG, INC.",2021-09-15,2022-09-15,2022-10-15,published_on_time,2022-04-25,0001493152-22-010860,,0001493152-22-010860,,0001493152-22-010860,,,,,,,,Published matrix date is on/before due+30 grace.,
