bucket,confidence,cik,ticker,legal_name,nasdaq_listing_date,initial_matrix_due_date,due_plus_30_grace,initial_matrix_status,initial_matrix_publication_date,initial_matrix_source,current_review_status,current_evidence_url,current_evidence_type,current_evidence_excerpt,committed_current_sec_status,committed_current_sec_found_date,committed_current_sec_found_url,committed_wayback_status,committed_wayback_found_date,committed_wayback_found_url,committed_fts_status,review_reason,review_notes
released_in_required_window,high,1689731,,"Southern States Bancshares, Inc.",2021-08-12,2022-08-12,2022-09-11,published_on_time,2022-03-30,0001628280-22-007803,,0001628280-22-007803,,0001628280-22-007803,,,,,,,,Published matrix date is on/before due+30 grace.,
released_in_required_window,high,1853816,DRMA,"Dermata Therapeutics, Inc.",2021-08-13,2022-08-13,2022-09-12,published_on_time,2022-06-01,0001654954-22-007809,,0001654954-22-007809,,0001654954-22-007809,,,,,,,,Published matrix date is on/before due+30 grace.,
released_in_required_window,high,1534154,AUID,authID Inc.,2021-08-25,2022-08-25,2022-09-24,published_on_time,2022-08-05,0001213900-22-044960,,0001213900-22-044960,,0001213900-22-044960,,,,,,,,Published matrix date is on/before due+30 grace.,
released_in_required_window,high,1574094,RNXT,"RenovoRx, Inc.",2021-08-26,2022-08-26,2022-09-25,published_on_time,2022-04-29,0001493152-22-011553,,0001493152-22-011553,,0001493152-22-011553,,,,,,,,Published matrix date is on/before due+30 grace.,
released_in_required_window,high,1590418,FCUV,FOCUS UNIVERSAL INC.,2021-09-01,2022-09-01,2022-10-01,published_on_time,2022-04-06,0001683168-22-002377,,0001683168-22-002377,,0001683168-22-002377,,,,,,,,Published matrix date is on/before due+30 grace.,
released_in_required_window,high,1588978,PRCT,PROCEPT BioRobotics Corp,2021-09-15,2022-09-15,2022-10-15,published_on_time,2022-04-28,0001628280-22-011112,,0001628280-22-011112,,0001628280-22-011112,,,,,,,,Published matrix date is on/before due+30 grace.,
released_in_required_window,high,1645569,,"DICE Therapeutics, Inc.",2021-09-15,2022-09-15,2022-10-15,published_on_time,2022-04-26,0001564590-22-015687,,0001564590-22-015687,,0001564590-22-015687,,,,,,,,Published matrix date is on/before due+30 grace.,
released_in_required_window,high,1817004,NXXT,"NEXTNRG, INC.",2021-09-15,2022-09-15,2022-10-15,published_on_time,2022-04-25,0001493152-22-010860,,0001493152-22-010860,,0001493152-22-010860,,,,,,,,Published matrix date is on/before due+30 grace.,
released_in_required_window,high,1841330,KTTA,Pasithea Therapeutics Corp.,2021-09-15,2022-09-15,2022-10-15,published_on_time,2022-05-13,0001213900-22-026293,,0001213900-22-026293,,0001213900-22-026293,,,,,,,,Published matrix date is on/before due+30 grace.,
released_in_required_window,high,1861795,DH,Definitive Healthcare Corp.,2021-09-15,2022-09-15,2022-10-15,published_on_time,2022-04-12,0001193125-22-102925,,0001193125-22-102925,,0001193125-22-102925,,,,,,,,Published matrix date is on/before due+30 grace.,
