cik,ticker,legal_name,nasdaq_listing_date,initial_matrix_due_date,known_company_urls,candidate_urls_top10,prior_snapshots_checked,review_status,evidence_url,evidence_publication_date,evidence_type,evidence_excerpt,review_notes
1605888,ATLN,ATLANTIC INTERNATIONAL CORP.,2021-08-27,2022-08-27,https://seqll.com;https://lyneer.com,https://seqll.com;https://lyneer.com;https://compsciresources.com;https://compsciresources.com/investors;https://compsciresources.com/investor-relations;https://compsciresources.com/governance;https://compsciresources.com/corporate-governance;https://lyneer.com/investors;https://lyneer.com/investor-relations;https://lyneer.com/governance,6,found_late_sec_search_browser_confirmed,https://www.sec.gov/Archives/edgar/data/1605888/000121390023020621/f10k2022_seqllinc.htm,2023-03-16,edgar_filing,"Board Diversity Matrix (As of March 7, 2023). Total Number of Directors 4. Directors Female 1, Male 2, Did Not Disclose Gender 1.",Search found 2024 SEC matrix and Browser confirmed substantive matrix; targeted reclassification selected earlier existing 2023 10-K matrix observation.
1836470,SRAD,Sportradar Group AG,2021-09-14,2022-09-14,https://investors.sportradar.com;https://sportradar.com,https://investors.sportradar.com;https://sportradar.com;https://investors.sportradar.com/investors;https://investors.sportradar.com/investor-relations;https://investors.sportradar.com/governance;https://investors.sportradar.com/corporate-governance;https://sportradar.com/investors;https://sportradar.com/investor-relations;https://sportradar.com/governance;https://sportradar.com/corporate-governance,10,searched_no_substantive_matrix,,,,,"Web search for exact company name plus Board Diversity Matrix returned third-party/other-company references, not Sportradar own matrix."
1841675,ARBK,Argo Blockchain Plc,2021-09-23,2022-09-23,https://argoblockchain.com;https://primarybid.com,https://argoblockchain.com;https://primarybid.com;https://investormeetcompany.com/argo-blockchain-plc/register-investor;https://investormeetcompany.com/argo-blockchain-plc/register-investor/investors;https://investormeetcompany.com/argo-blockchain-plc/register-investor/investor-relations;https://investormeetcompany.com/argo-blockchain-plc/register-investor/governance;https://investormeetcompany.com/argo-blockchain-plc/register-investor/corporate-governance;https://investormeetcompany.com;https://investormeetcompany.com/investors;https://investormeetcompany.com/investor-relations,12,searched_no_substantive_matrix,,,,,"Web search for exact company name plus Board Diversity Matrix returned third-party/competitor references, not Argo own matrix."
1804469,GFAI,"Guardforce AI Co., Ltd.",2021-09-30,2022-09-30,https://guardforceai.com;https://mordorintelligence.com,https://guardforceai.com;https://mordorintelligence.com;https://compsciresources.com;https://compsciresources.com/investors;https://compsciresources.com/investor-relations;https://compsciresources.com/governance;https://compsciresources.com/corporate-governance;https://guardforceai.com/investors;https://guardforceai.com/investor-relations;https://guardforceai.com/governance,2,searched_no_substantive_matrix,,,,,Web search returned Guardforce proxy/IR pages but opened PDF did not contain Board Diversity Matrix evidence.
1829794,EMPD,Empery Digital Inc.,2021-10-06,2022-10-06,https://ir.volcon.com;https://volcon.com,https://ir.volcon.com;https://volcon.com;https://ir.volcon.com/investors;https://ir.volcon.com/investor-relations;https://ir.volcon.com/governance;https://ir.volcon.com/corporate-governance;https://envisionreports.com;https://envisionreports.com/investors;https://envisionreports.com/investor-relations;https://envisionreports.com/governance,0,searched_no_substantive_matrix,,,,,"Web search for Empery/Volcon plus Board Diversity Matrix returned generic/non-company results, no substantive matrix."
1419554,BBLG,Bone Biologics Corp,2021-10-13,2022-10-13,https://bonebiologics.com,https://bonebiologics.com;https://bonebiologics.com/investor-relations/corporate-governance;https://bonebiologics.com/investor-relations/corporate-governance/investors;https://bonebiologics.com/investor-relations/corporate-governance/investor-relations;https://bonebiologics.com/investor-relations/corporate-governance/governance;https://bonebiologics.com/investor-relations/corporate-governance/corporate-governance;https://bonebiologics.com/investors;https://bonebiologics.com/investor-relations;https://bonebiologics.com/governance;https://bonebiologics.com/corporate-governance,0,searched_no_substantive_matrix,,,,,"Web search returned OutLeadership aggregate mention for Bone Biologics, not a company primary-source matrix."
1840229,INKT,"MiNK Therapeutics, Inc.",2021-10-15,2022-10-15,https://investor.minktherapeutics.com;https://minktherapeutics.com,https://investor.minktherapeutics.com;https://minktherapeutics.com;https://investor.minktherapeutics.com/corporate-governance/documents-and-charters;https://investor.minktherapeutics.com/corporate-governance/documents-and-charters/investors;https://investor.minktherapeutics.com/corporate-governance/documents-and-charters/investor-relations;https://investor.minktherapeutics.com/corporate-governance/documents-and-charters/governance;https://investor.minktherapeutics.com/corporate-governance/documents-and-charters/corporate-governance;https://investor.minktherapeutics.com/investors;https://investor.minktherapeutics.com/investor-relations;https://investor.minktherapeutics.com/governance,0,candidate_file_unretrieved,https://investor.minktherapeutics.com/static-files/46fee85e-a5e3-47ac-9531-2e6c4f5aa42f,,issuer_static_file_candidate,,"Browser confirmed issuer page has Board Diversity Matrix link; direct static-file retrieval hung/failed, so not inserted yet."
1856028,,"Stronghold Digital Mining, Inc.",2021-10-20,2022-10-20,https://ir.strongholddigitalmining.com;https://strongholddigitalmining.com,https://ir.strongholddigitalmining.com;https://strongholddigitalmining.com;https://investor.innovage.com;https://investor.innovage.com/investors;https://investor.innovage.com/investor-relations;https://investor.innovage.com/governance;https://investor.innovage.com/corporate-governance;https://ir.strongholddigitalmining.com/investors;https://ir.strongholddigitalmining.com/investor-relations;https://ir.strongholddigitalmining.com/governance,2,found_late_sec_search_browser_confirmed,https://www.sec.gov/Archives/edgar/data/1856028/000114036124022864/ny20021834x1_def14a.htm,2024-04-29,edgar_filing,"Board Diversity Matrix (As of April 29, 2024). Total Number of Directors 7. Directors Female 2 Male 5 Non-Binary 0 Did Not Disclose Gender 0.",Browser confirmed substantive SEC proxy matrix; late versus 2022-10-20 due date.
1653384,RWAY,Runway Growth Finance Corp.,2021-10-21,2022-10-21,https://investors.runwaygrowth.com;https://runwaygrowth.com,https://investors.runwaygrowth.com;https://runwaygrowth.com;https://investors.runwaygrowth.com/corporate-governance/governance-overview;https://investors.runwaygrowth.com/corporate-governance/governance-overview/investors;https://investors.runwaygrowth.com/corporate-governance/governance-overview/investor-relations;https://investors.runwaygrowth.com/corporate-governance/governance-overview/governance;https://investors.runwaygrowth.com/corporate-governance/governance-overview/corporate-governance;https://investors.runwaygrowth.com/investors;https://investors.runwaygrowth.com/investor-relations;https://investors.runwaygrowth.com/governance,1,found_late_existing_observation_reclassified,https://www.sec.gov/Archives/edgar/data/1653384/000110465923053106/tm231923-1_def14a.htm,2023-05-04,edgar_filing,"BOARD DIVERSITY MATRIX (as of April 28, 2023). Total Number of Directors 5.",Existing SQLite observation was substantive; targeted reclassification moved row to published_late.
1844392,MRAI,"Marpai, Inc.",2021-10-27,2022-10-27,https://ir.marpaihealth.com;https://marpaihealth.com,https://ir.marpaihealth.com;https://marpaihealth.com;https://astproxyportal.com;https://astproxyportal.com/investors;https://astproxyportal.com/investor-relations;https://astproxyportal.com/governance;https://astproxyportal.com/corporate-governance;https://marpaihealth.com/investors;https://marpaihealth.com/investor-relations;https://marpaihealth.com/governance,1,searched_no_substantive_matrix,,,,,"Browser checked Marpai direct matrix guesses; /board-diversity-matrix returned 404 and index.php?s=124 was fundamentals, no matrix."
