cik,ticker,legal_name,nasdaq_listing_date,initial_matrix_due_date,candidate_rank,candidate_url
1605888,ATLN,ATLANTIC INTERNATIONAL CORP.,2021-08-27,2022-08-27,1,https://compsciresources.com
1605888,ATLN,ATLANTIC INTERNATIONAL CORP.,2021-08-27,2022-08-27,2,https://compsciresources.com/investors
1605888,ATLN,ATLANTIC INTERNATIONAL CORP.,2021-08-27,2022-08-27,3,https://compsciresources.com/investor-relations
1605888,ATLN,ATLANTIC INTERNATIONAL CORP.,2021-08-27,2022-08-27,4,https://compsciresources.com/governance
1605888,ATLN,ATLANTIC INTERNATIONAL CORP.,2021-08-27,2022-08-27,5,https://compsciresources.com/corporate-governance
1605888,ATLN,ATLANTIC INTERNATIONAL CORP.,2021-08-27,2022-08-27,6,https://lyneer.com
1605888,ATLN,ATLANTIC INTERNATIONAL CORP.,2021-08-27,2022-08-27,7,https://lyneer.com/investors
1605888,ATLN,ATLANTIC INTERNATIONAL CORP.,2021-08-27,2022-08-27,8,https://lyneer.com/investor-relations
1605888,ATLN,ATLANTIC INTERNATIONAL CORP.,2021-08-27,2022-08-27,9,https://lyneer.com/governance
1605888,ATLN,ATLANTIC INTERNATIONAL CORP.,2021-08-27,2022-08-27,10,https://lyneer.com/corporate-governance
1605888,ATLN,ATLANTIC INTERNATIONAL CORP.,2021-08-27,2022-08-27,11,https://seqll.com
1605888,ATLN,ATLANTIC INTERNATIONAL CORP.,2021-08-27,2022-08-27,12,https://seqll.com/investors
1836470,SRAD,Sportradar Group AG,2021-09-14,2022-09-14,1,https://investors.sportradar.com
1836470,SRAD,Sportradar Group AG,2021-09-14,2022-09-14,2,https://investors.sportradar.com/investors
1836470,SRAD,Sportradar Group AG,2021-09-14,2022-09-14,3,https://investors.sportradar.com/investor-relations
1836470,SRAD,Sportradar Group AG,2021-09-14,2022-09-14,4,https://investors.sportradar.com/governance
1836470,SRAD,Sportradar Group AG,2021-09-14,2022-09-14,5,https://investors.sportradar.com/corporate-governance
1836470,SRAD,Sportradar Group AG,2021-09-14,2022-09-14,6,https://sportradar.com
1836470,SRAD,Sportradar Group AG,2021-09-14,2022-09-14,7,https://sportradar.com/investors
1836470,SRAD,Sportradar Group AG,2021-09-14,2022-09-14,8,https://sportradar.com/investor-relations
1836470,SRAD,Sportradar Group AG,2021-09-14,2022-09-14,9,https://sportradar.com/governance
1836470,SRAD,Sportradar Group AG,2021-09-14,2022-09-14,10,https://sportradar.com/corporate-governance
1836470,SRAD,Sportradar Group AG,2021-09-14,2022-09-14,11,https://xbrl.ifrs.org
1836470,SRAD,Sportradar Group AG,2021-09-14,2022-09-14,12,https://xbrl.ifrs.org/investors
1841675,ARBK,Argo Blockchain Plc,2021-09-23,2022-09-23,1,https://investormeetcompany.com/argo-blockchain-plc/register-investor
1841675,ARBK,Argo Blockchain Plc,2021-09-23,2022-09-23,2,https://investormeetcompany.com/argo-blockchain-plc/register-investor/investors
1841675,ARBK,Argo Blockchain Plc,2021-09-23,2022-09-23,3,https://investormeetcompany.com/argo-blockchain-plc/register-investor/investor-relations
1841675,ARBK,Argo Blockchain Plc,2021-09-23,2022-09-23,4,https://investormeetcompany.com/argo-blockchain-plc/register-investor/governance
1841675,ARBK,Argo Blockchain Plc,2021-09-23,2022-09-23,5,https://investormeetcompany.com/argo-blockchain-plc/register-investor/corporate-governance
1841675,ARBK,Argo Blockchain Plc,2021-09-23,2022-09-23,6,https://investormeetcompany.com
1841675,ARBK,Argo Blockchain Plc,2021-09-23,2022-09-23,7,https://investormeetcompany.com/investors
1841675,ARBK,Argo Blockchain Plc,2021-09-23,2022-09-23,8,https://investormeetcompany.com/investor-relations
